clave_casilla,clave_acta,id_estado,estado,id_distrito_federal,distrito_federal,seccion,id_casilla,tipo_casilla,ext_contigua,ubicacion_casilla,tipo_acta,total_boletas_sobrantes,total_personas_votaron,total_rep_partido_ci_votaron,total_votos_sacados,codigos_entregados_pmdc,codigos_sobrantes,codigos_utilizados,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fxm,cand_ind_1,cand_ind_2,cand_ind_3,pan_pri_prd,pan_pri,pan_prd,pri_prd,pvem_pt_morena,pvem_pt,pvem_morena,pt_morena,no_registrados,nulos,total_votos_asentado,total_votos_calculados,lista_nominal,representantes_pp_ci,observaciones,contabilizada,mecanismos_traslado,sha,fecha_hora_acopio,fecha_hora_captura,fecha_hora_verificacion,origen,digitalizacion,tipo_documento,cotejada
'010344E0100','010344E01002',1,AGUASCALIENTES,1,Jesús María,344,1,E,0,No Urbana,Diputados MR,210,474,0,474,NO APLICA,NO APLICA,NO APLICA,216,10,4,2,6,7,201,3,14,1,-,-,-,3,1,0,0,-,-,-,-,0,6,474,474,640,44,NA,1,D,a467f752b896930d5417b07ba8bd5240b16e48bd82ab7103bcac41c9977f7c7e,07/06/2021 04:41:00,07/06/2021 04:46:24,07/06/2021 04:46:59,CATD,Escáner,Acta PREP,1
'010344E0101','010344E01012',1,AGUASCALIENTES,1,Jesús María,344,1,E,1,No Urbana,Diputados MR,Sin dato,Sin dato,Sin dato,476,NO APLICA,NO APLICA,NO APLICA,217,9,0,8,9,0,215,1,8,0,-,-,-,0,0,0,0,-,-,-,-,0,9,476,476,640,44,NA,1,D,7123193b04707d97ef14432db378591ebc554e79e907a067e9805c3763f1ab15,07/06/2021 04:40:00,07/06/2021 05:56:39,07/06/2021 05:57:35,CATD,Escáner,Acta PREP,1
'010345B0100','010345B01002',1,AGUASCALIENTES,1,Jesús María,345,1,B,0,No Urbana,Diputados MR,Sin dato,Sin dato,Sin dato,Sin dato,NO APLICA,NO APLICA,NO APLICA,114,39,15,4,5,8,121,11,7,2,-,-,-,0,0,0,0,-,-,-,-,0,10,336,336,575,44,NA,1,D,37711be20e96dbd79ea9e8421bc33ac45800a540c66359a92ef2fae115f16e46,06/06/2021 20:29:14,06/06/2021 20:54:03,06/06/2021 20:54:33,CASILLA,Móvil,Acta PREP,1
'010345C0100','010345C01002',1,AGUASCALIENTES,1,Jesús María,345,1,C,0,No Urbana,Diputados MR,297,322,1,323,NO APLICA,NO APLICA,NO APLICA,65,32,32,3,7,5,159,7,3,4,-,-,-,0,0,0,0,-,-,-,-,0,0,323,317,575,44,NA,1,D,b7b3d6b9eb7faabd603c76e747de219e00e6e86fc25f0426ba69cc4d5f92e45f,06/06/2021 21:26:02,06/06/2021 21:44:21,06/06/2021 21:44:52,CASILLA,Móvil,Acta PREP,1
'010345C0200','010345C02002',1,AGUASCALIENTES,1,Jesús María,345,2,C,0,No Urbana,Diputados MR,269,346,3,349,NO APLICA,NO APLICA,NO APLICA,96,37,24,6,7,2,159,7,5,1,-,-,-,0,0,2,0,-,-,-,-,0,3,349,349,575,44,NA,1,D,6f5db559877e50046c15a4c736cd3f5f49d38b31235912c064baffde9fda43bb,06/06/2021 20:43:32,06/06/2021 20:57:08,06/06/2021 20:57:51,CASILLA,Móvil,Acta PREP,1
'010345C0300','010345C03002',1,AGUASCALIENTES,1,Jesús María,345,3,C,0,No Urbana,Diputados MR,295,324,0,324,NO APLICA,NO APLICA,NO APLICA,81,47,4,9,5,7,151,3,2,4,-,-,-,0,0,1,0,-,-,-,-,0,10,324,324,575,44,NA,1,D,345848099ad67f86f55f826da85b934687d1a651b13eb1c1bfe2f2b3e6bd5caf,06/06/2021 21:35:16,06/06/2021 21:47:58,06/06/2021 21:48:59,CASILLA,Móvil,Acta PREP,1
'010346B0100','010346B01002',1,AGUASCALIENTES,1,Jesús María,346,1,B,0,No Urbana,Diputados MR,273,409,0,411,NO APLICA,NO APLICA,NO APLICA,103,19,4,9,6,5,219,9,20,8,-,-,-,0,0,1,0,-,-,-,-,0,8,411,411,639,44,NA,1,D,ea9a73782a36b3e58b368d5559c73dcd275884a399b3d4ed2ebbca4315ba7194,07/06/2021 03:03:00,07/06/2021 03:07:32,07/06/2021 03:09:23,CATD,Escáner,Acta PREP,1
'010346C0100','010346C01002',1,AGUASCALIENTES,1,Jesús María,346,1,C,0,No Urbana,Diputados MR,268,412,2,410,NO APLICA,NO APLICA,NO APLICA,116,14,8,5,9,6,220,7,12,4,-,-,-,0,0,0,0,-,-,-,-,0,9,410,410,638,44,NA,1,D,97d029f3435522e1ba96afdd7c8eb038b497935484601ce48f785bfa4510a671,06/06/2021 21:27:41,06/06/2021 21:44:45,06/06/2021 21:46:19,CASILLA,Móvil,Acta PREP,1
'010346C0200','010346C02002',1,AGUASCALIENTES,1,Jesús María,346,2,C,0,No Urbana,Diputados MR,263,412,7,419,NO APLICA,NO APLICA,NO APLICA,122,22,6,8,6,5,212,6,17,4,-,-,-,0,0,1,0,-,-,-,-,0,10,419,419,638,44,NA,1,D,bdd0a57f925cb4bc501a2c18d7387baf0662ae3893f28e2b15da9a6407b92fa7,06/06/2021 20:22:27,06/06/2021 20:31:34,06/06/2021 20:32:07,CASILLA,Móvil,Acta PREP,1
'010347B0100','010347B01002',1,AGUASCALIENTES,1,Jesús María,347,1,B,0,No Urbana,Diputados MR,249,479,0,477,NO APLICA,NO APLICA,NO APLICA,152,6,7,8,2,8,252,10,10,8,-,-,-,0,0,0,0,-,-,-,-,0,14,477,477,684,44,NA,1,D,5f2952aa101f5adc9f158d302ff81c891150684e33f20edb3322d5c8141a022a,06/06/2021 20:50:09,06/06/2021 21:06:32,06/06/2021 21:08:01,CASILLA,Móvil,Acta PREP,1
'010347C0100','010347C01002',1,AGUASCALIENTES,1,Jesús María,347,1,C,0,No Urbana,Diputados MR,242,486,2,488,NO APLICA,NO APLICA,NO APLICA,143,11,5,6,8,7,278,6,7,3,-,-,-,0,0,0,0,-,-,-,-,0,14,488,488,684,44,NA,1,D,4d48c99f7774cb2145a5ea48fe30d203c25abd42b0d3cdb2676e21c9b7a41be2,06/06/2021 22:50:37,06/06/2021 22:57:06,06/06/2021 22:57:39,CASILLA,Móvil,Acta PREP,1
'010347C0200','010347C02002',1,AGUASCALIENTES,1,Jesús María,347,2,C,0,No Urbana,Diputados MR,221,506,0,507,NO APLICA,NO APLICA,NO APLICA,135,6,18,6,10,4,298,3,9,3,-,-,-,0,0,0,0,-,-,-,-,0,14,507,506,684,44,NA,1,D,fa8216b7fa6b1ca8512435482cef2640df9a932c3c2e65514cafc91e06b45742,06/06/2021 21:25:38,06/06/2021 21:53:10,06/06/2021 21:54:01,CASILLA,Móvil,Acta PREP,1
'010347C0300','010347C03002',1,AGUASCALIENTES,1,Jesús María,347,3,C,0,No Urbana,Diputados MR,294,433,Ilegible,433,NO APLICA,NO APLICA,NO APLICA,97,4,2,9,6,5,272,5,7,2,-,-,-,0,0,0,0,-,-,-,-,0,24,433,433,684,44,NA,1,D,69dd456b72995c28d5bd1d4ef27d0b0cde1f3ec2a16dcb215ff63a0452adfe1b,06/06/2021 20:48:27,06/06/2021 20:54:28,06/06/2021 20:55:26,CASILLA,Móvil,Acta PREP,1
