fecha,hora_utc,clase_de_vuelo_todos_los_vuelos,clasificacion_vuelo,tipo_de_movimiento,aeropuerto,origen_destino,aerolinea_nombre,aeronave,pasajeros,calidad_dato
20/04/2021,16:30:00,Vuelo Privado con Matrícula Nacional,Domestico,Aterrizaje,MOR,LJN,0,CE-150-L,0,DEFINITIVO
09/03/2021,12:06:00,Vuelo Escuela,Domestico,Despegue,MOR,MOR,0,PA-PA-11,0,DEFINITIVO
07/04/2021,14:48:00,Vuelo Escuela,Domestico,Despegue,MOR,MGI,0,CE-150-L,0,DEFINITIVO
08/01/2021,11:27:00,Vuelo Privado con Matrícula Nacional,Domestico,Despegue,FDO,MDP,0,TEA-P2002 SIERRA,0,DEFINITIVO
08/08/2021,21:30:00,Regular,Domestico,Aterrizaje,BAR,AER,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,44,DEFINITIVO
28/04/2021,20:42:00,Vuelo Escuela,Domestico,Despegue,MOR,MOR,0,CE-152,0,DEFINITIVO
20/02/2021,17:15:00,Vuelo Privado con Matrícula Nacional,Domestico,Aterrizaje,FDO,FDO,AERONAUTICA S.A.,CE-501,0,DEFINITIVO
15/09/2021,18:51:00,Vuelo Escuela,Domestico,Aterrizaje,MOR,MOR,0,CE-150-J,0,DEFINITIVO
21/05/2021,15:22:00,Vuelo Oficial Nacional,Domestico,Aterrizaje,POS,ELD,0,EUR-EC-135T2,2,DEFINITIVO
04/03/2021,10:58:00,Vuelo Privado con Matrícula Nacional,Domestico,Aterrizaje,SDE,ROS,0,LJ-60,3,DEFINITIVO
30/03/2021,12:41:00,Vuelo Oficial Nacional,Domestico,Despegue,RTA,RTA,0,0,0,DEFINITIVO
04/04/2021,22:23:00,Regular,Domestico,Despegue,TRE,AER,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,47,DEFINITIVO
28/07/2021,17:10:00,Vuelo Escuela,Domestico,Despegue,MOR,MOR,0,CE-150-J,0,DEFINITIVO
30/07/2021,17:08:00,Vuelo Privado con Matrícula Nacional,Domestico,Aterrizaje,TRC,VRU,0,CE-152,0,DEFINITIVO
18/04/2021,16:06:00,Regular,Domestico,Aterrizaje,AER,TUC,AEROLINEAS ARGENTINAS SA,BO-737-800,59,DEFINITIVO
02/10/2021,14:58:00,Regular,Domestico,Despegue,NEU,DOZ,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,21,DEFINITIVO
23/12/2021,02:40:00,No Regular,Internacional,Aterrizaje,EZE,SBKP,LAN AIRLINES S.A.,0,0,DEFINITIVO
12/09/2021,19:27:00,Regular,Domestico,Aterrizaje,CHP,AER,AEROLINEAS ARGENTINAS SA,BO-737-8SH,84,DEFINITIVO
11/11/2021,17:38:00,1R,Domestico,Aterrizaje,AER,BAR,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,48,DEFINITIVO
27/01/2021,19:13:00,Regular,Domestico,Aterrizaje,DOZ,SAL,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,32,DEFINITIVO
12/03/2021,22:33:00,Vuelo Oficial Nacional,Domestico,Aterrizaje,PAL,PAL,FUERZA AEREA ARGENTINA,0,0,DEFINITIVO
10/07/2021,06:56:00,Regular,Domestico,Aterrizaje,SAL,AER,FB LÍNEAS AÉREAS - FLYBONDI,BO-737-800,97,DEFINITIVO
27/02/2021,21:45:00,Vuelo Escuela,Domestico,Despegue,MOR,MOR,0,CE-150-L,0,DEFINITIVO
15/09/2021,11:52:00,Regular,Domestico,Aterrizaje,SVO,AER,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,29,DEFINITIVO
12/05/2021,17:43:00,Vuelo Privado con Matrícula Nacional,Domestico,Despegue,FDO,FDO,0,PA-PA-28-181,0,DEFINITIVO
28/06/2021,20:30:00,No Regular,Domestico,Despegue,AER,BAR,PRIVATE AVIATION CONSULTING S.A.,LJ-45,2,DEFINITIVO
30/12/2021,11:30:00,No Regular,Domestico,Despegue,TUC,EZE,AERORUTAS S.A. DE TRANSP. AER.,LJ-31-A,1,DEFINITIVO
17/09/2021,12:48:00,Vuelo Oficial Nacional,Domestico,Aterrizaje,DOZ,DOZ,0,0,0,DEFINITIVO
23/07/2021,01:01:00,Vuelo Escuela,Domestico,Aterrizaje,ROS,ROS,0,CE-152,0,DEFINITIVO
21/10/2021,20:03:00,Vuelo Privado con Matrícula Nacional,Domestico,Despegue,FDO,FDO,0,BRT-LSA,0,DEFINITIVO
11/12/2021,19:41:00,Vuelo Privado con Matrícula Nacional,Domestico,Aterrizaje,FDO,MGI,0,CIR-SR-22,0,DEFINITIVO
28/12/2021,11:53:00,Vuelo Escuela,Domestico,Despegue,MOR,MOR,0,CE-152-II,0,DEFINITIVO
16/09/2021,11:26:00,Vuelo Privado con Matrícula Nacional,Domestico,Aterrizaje,SAL,SLV,0,TXA-B200,2,DEFINITIVO
30/04/2021,13:17:00,Vuelo Privado con Matrícula Nacional,Domestico,Aterrizaje,TRC,TRC,0,TEA-P2002 SIERRA,0,DEFINITIVO
04/02/2021,17:53:00,No Regular,Domestico,Despegue,CRV,FDO,0,FA-SA-227-DC,0,DEFINITIVO
15/11/2021,16:57:00,4N,Internacional,Aterrizaje,FDO,SUMU,0,CIR-SR-22,0,DEFINITIVO
02/04/2021,17:23:00,Regular,Domestico,Aterrizaje,NEU,ROS,JETSMART AIRLINES S.A.,AIB-A320-232,46,DEFINITIVO
20/05/2021,19:30:00,Vuelo Privado con Matrícula Nacional,Domestico,Aterrizaje,FDO,FDO,0,PA-PA-30,0,DEFINITIVO
23/03/2021,20:35:00,Vuelo Privado con Matrícula Nacional,Domestico,Despegue,CBA,FDO,0,CE-510,0,DEFINITIVO
30/04/2021,12:55:00,Vuelo de Adiestramiento,Domestico,Despegue,IGU,ELD,0,CE-150-M,0,DEFINITIVO
27/06/2021,13:25:00,Regular,Domestico,Despegue,AER,EZE,AEROLINEAS ARGENTINAS SA,BO-B737-81D,0,DEFINITIVO
09/02/2021,14:45:00,Regular,Domestico,Aterrizaje,EZE,DOZ,AEROLINEAS ARGENTINAS SA,BO-737-800,75,DEFINITIVO
28/12/2021,04:42:00,Regular,Internacional,Despegue,EZE,SKBO,AVIANCA AEROVIAS NACIONALES COLOMBIA,0,147,DEFINITIVO
15/11/2021,14:26:00,1R,Internacional,Despegue,DOZ,SBGR,TAM - TRANSPORTES AEREOS MERIDIONAIS S/A,0,108,DEFINITIVO
02/03/2021,03:03:00,No Regular,Domestico,Aterrizaje,FDO,BAR,AEROVIDA S.A.,CE-550,2,DEFINITIVO
22/01/2021,16:49:00,Vuelo Oficial Extranjero,Domestico,Aterrizaje,FDO,PAR,EMBAJADA DE LOS ESTADOS UNIDOS,0,0,DEFINITIVO
23/06/2021,12:32:00,Vuelo Oficial Nacional,Domestico,Despegue,PAL,VIE,FUERZA AEREA ARGENTINA,0,0,DEFINITIVO
14/09/2021,19:02:00,Vuelo Privado con Matrícula Nacional,Domestico,Aterrizaje,MOR,MOR,0,RW-690-B,0,DEFINITIVO
01/06/2021,17:40:00,Vuelo Escuela,Domestico,Aterrizaje,MOR,MOR,0,CE-152,0,DEFINITIVO
03/08/2021,23:38:00,Regular,Domestico,Despegue,SAL,AER,JETSMART AIRLINES S.A.,AIB-A320-232,71,DEFINITIVO
18/10/2021,01:50:00,Regular,Domestico,Despegue,SDE,AER,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,43,DEFINITIVO
14/11/2021,12:04:00,3E,Domestico,Despegue,MOR,GEZ,0,CE-150-L,0,DEFINITIVO
02/10/2021,22:04:00,Regular,Domestico,Despegue,AER,JUJ,FB LÍNEAS AÉREAS - FLYBONDI,BO-737-8Q8,92,DEFINITIVO
19/07/2021,15:00:00,Vuelo Escuela,Domestico,Despegue,MOR,MOR,0,CE-152,0,DEFINITIVO
09/06/2021,14:50:00,No Regular,Domestico,Despegue,FSA,FDO,0,CE-501,0,DEFINITIVO
03/11/2021,15:43:00,4N,Domestico,Aterrizaje,FDO,ROS,0,CE-R-172-K,0,DEFINITIVO
21/04/2021,19:47:00,Vuelo Escuela,Domestico,Aterrizaje,MOR,MOR,0,CE-152,0,DEFINITIVO
06/10/2021,16:59:00,Regular,Domestico,Aterrizaje,EZE,AER,AEROLINEAS ARGENTINAS SA,BO-737-800,0,DEFINITIVO
15/01/2021,20:38:00,Vuelo Privado con Matrícula Nacional,Domestico,Despegue,TRE,BCA,AMERICAN JET S.A.,FA-SA-227-DC,0,DEFINITIVO
29/10/2021,16:24:00,Vuelo Escuela,Domestico,Aterrizaje,MOR,MOR,0,TEA-P2002-JF,0,DEFINITIVO
24/07/2021,17:39:00,Regular,Domestico,Despegue,JUA,AER,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,45,DEFINITIVO
14/05/2021,19:11:00,No Regular,Domestico,Despegue,VIE,NEU,BAIRES FLY SA,LJ-35,0,DEFINITIVO
29/10/2021,09:07:00,Regular,Domestico,Despegue,EZE,ECA,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,39,DEFINITIVO
06/04/2021,15:28:00,No Regular,Domestico,Aterrizaje,AER,MDP,AMERICAN JET S.A.,EMB-EMB-145LR,0,DEFINITIVO
30/04/2021,17:06:00,Vuelo Escuela,Domestico,Despegue,MOR,MOR,0,CE-152,0,DEFINITIVO
29/12/2021,11:39:00,Vuelo Oficial Nacional,Domestico,Aterrizaje,TRC,RYD,FUERZA AEREA ARGENTINA (FAA),0,0,DEFINITIVO
26/12/2021,22:43:00,Vuelo Privado con Matrícula Nacional,Domestico,Aterrizaje,TRE,CRV,0,BE-58,0,DEFINITIVO
20/07/2021,19:54:00,Vuelo Privado con Matrícula Nacional,Domestico,Aterrizaje,ROS,FDO,0,FA-SA-227-AC,0,DEFINITIVO
19/11/2021,15:04:00,2N,Domestico,Despegue,FDO,FDO,0,0,0,DEFINITIVO
31/07/2021,01:07:00,Regular,Domestico,Aterrizaje,AER,BAR,AEROLINEAS ARGENTINAS SA,BO-B737-800,85,DEFINITIVO
01/06/2021,16:25:00,No Regular,Internacional,Despegue,FDO,SULS,0,PI-PC-12-47E,0,DEFINITIVO
30/10/2021,13:07:00,Vuelo Privado con Matrícula Nacional,Internacional,Despegue,FDO,3010,0,BE-A-36,0,DEFINITIVO
29/10/2021,15:12:00,Regular,Domestico,Aterrizaje,TRE,AER,AEROLINEAS ARGENTINAS SA,BO-B737-8SH,84,DEFINITIVO
11/06/2021,17:16:00,Vuelo Oficial Nacional,Domestico,Despegue,BCA,RYD,0,0,0,DEFINITIVO
23/12/2021,14:01:00,Vuelo Escuela,Domestico,Despegue,MOR,MOR,0,TEA-P92 MKII,0,DEFINITIVO
21/10/2021,22:18:00,Regular,Domestico,Aterrizaje,BAR,AER,AEROLINEAS ARGENTINAS SA,BO-B737-800,75,DEFINITIVO
19/05/2021,17:29:00,Vuelo Privado con Matrícula Nacional,Domestico,Despegue,FDO,FDO,0,PA-PA-28-181,0,DEFINITIVO
16/10/2021,13:58:00,Vuelo Escuela,Domestico,Despegue,MOR,MOR,0,CE-150-L,0,DEFINITIVO
18/05/2021,21:00:00,Vuelo Privado con Matrícula Nacional,Domestico,Despegue,CHP,NEU,0,BE-C-90-A,0,DEFINITIVO
08/06/2021,17:40:00,Vuelo Privado con Matrícula Nacional,Domestico,Aterrizaje,TRE,FDO,SOCORRO MEDICO PRIVADO (VITTAL),CE-550,0,DEFINITIVO
01/05/2021,20:45:00,Vuelo Escuela,Domestico,Despegue,POS,POS,0,CE-172-N,1,DEFINITIVO
29/05/2021,14:13:00,Regular,Domestico,Aterrizaje,AER,DOZ,JETSMART AIRLINES S.A.,AIB-A320-232,29,DEFINITIVO
05/02/2021,14:26:00,Vuelo Escuela,Domestico,Aterrizaje,MOR,MOR,0,CE-152-II,0,DEFINITIVO
28/11/2021,01:08:00,1R,Internacional,Despegue,EZE,KIAH,UNITED AIRLINES INC. (EEUU),0,194,DEFINITIVO
05/06/2021,12:46:00,Vuelo Privado con Matrícula Nacional,Domestico,Despegue,FDO,BLL,0,TXA-B200GT,1,DEFINITIVO
27/12/2021,00:50:00,Regular,Domestico,Aterrizaje,AER,ROS,AEROLINEAS ARGENTINAS SA,BO-B737-8MB,58,DEFINITIVO
17/05/2021,20:45:00,Vuelo Oficial Nacional,Domestico,Despegue,DIA,CZU,EJERCITO ARGENTINO,0,3,DEFINITIVO
18/12/2021,12:12:00,Regular,Domestico,Despegue,DOZ,BAR,AEROLINEAS ARGENTINAS SA,BO-737-800,70,DEFINITIVO
11/05/2021,00:30:00,Regular,Domestico,Aterrizaje,AER,JUJ,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,65,DEFINITIVO
17/09/2021,14:33:00,Vuelo Privado con Matrícula Nacional,Domestico,Despegue,PAR,FDO,0,BEF-F-90,2,DEFINITIVO
23/03/2021,22:06:00,Vuelo Privado con Matrícula Nacional,Domestico,Aterrizaje,FDO,MOR,0,CE-150-H,0,DEFINITIVO
22/10/2021,16:34:00,Vuelo Oficial Nacional,Domestico,Despegue,GAL,GAL,EJERCITO ARGENTINO,0,2,DEFINITIVO
09/08/2021,16:14:00,Vuelo Privado con Matrícula Nacional,Domestico,Aterrizaje,POS,POS,0,TXA-U-206-G,3,DEFINITIVO
02/10/2021,16:52:00,Regular,Domestico,Aterrizaje,AER,USU,JETSMART AIRLINES S.A.,AIB-A320-232,87,DEFINITIVO
24/03/2021,18:24:00,Vuelo Privado con Matrícula Nacional,Domestico,Despegue,SAL,CAF,0,PA-PA-28-R-201T,0,DEFINITIVO
03/02/2021,18:40:00,Vuelo Oficial Nacional,Domestico,Aterrizaje,PAL,DIL,FUERZA AEREA ARGENTINA,0,0,DEFINITIVO
17/03/2021,17:56:00,Vuelo Privado con Matrícula Nacional,Domestico,Aterrizaje,FDO,OSA,0,PAA-PA-A-31-350,0,DEFINITIVO
13/01/2021,11:08:00,Regular,Internacional,Aterrizaje,EZE,KATL,DELTA AIRLINES,0,180,DEFINITIVO
10/08/2021,17:07:00,Vuelo Oficial Nacional,Domestico,Despegue,FDO,FDO,0,0,0,DEFINITIVO
30/09/2021,12:37:00,Vuelo Oficial Nacional,Domestico,Despegue,RTA,RTA,0,0,0,DEFINITIVO
01/05/2021,13:16:00,No Regular,Internacional,Despegue,FDO,SKLT,0,LJ-60,4,DEFINITIVO
12/11/2021,18:20:00,3E,Domestico,Aterrizaje,MOR,MOR,0,TEA-P2002-JF,0,DEFINITIVO
29/11/2021,18:09:00,3E,Domestico,Aterrizaje,MOR,BOS,0,CE-152,0,DEFINITIVO
13/01/2021,11:52:00,Vuelo Escuela,Domestico,Aterrizaje,SVO,SVO,0,TEA-P2002 SIERRA MKII,0,DEFINITIVO
27/07/2021,21:06:00,Regular,Domestico,Aterrizaje,AER,IGU,JETSMART AIRLINES S.A.,AIB-A320-232,61,DEFINITIVO
10/02/2021,14:26:00,Regular,Domestico,Despegue,EZE,DOZ,JETSMART AIRLINES S.A.,AIB-A320-232,56,DEFINITIVO
02/04/2021,15:15:00,Trabajo Aéreo,Domestico,Despegue,ESQ,NEU,0,AIR-AT-602,0,DEFINITIVO
13/03/2021,13:17:00,Vuelo Oficial Nacional,Domestico,Aterrizaje,BAR,PAL,0,0,4,DEFINITIVO
13/02/2021,13:36:00,Vuelo Privado con Matrícula Nacional,Domestico,Aterrizaje,BCA,GEZ,0,PA-PA-28-R-201T,0,DEFINITIVO
19/01/2021,11:02:00,Regular,Internacional,Despegue,EZE,SBGL,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,85,DEFINITIVO
29/03/2021,01:16:00,Regular,Domestico,Aterrizaje,AER,CBA,JETSMART AIRLINES S.A.,AIB-A320-232,57,DEFINITIVO
09/04/2021,15:28:00,Vuelo de Adiestramiento,Domestico,Despegue,NEU,LNH,0,PA-PA-28-181,0,DEFINITIVO
07/08/2021,11:24:00,No Regular,Internacional,Despegue,FDO,SUMU,0,CE-208-B,0,DEFINITIVO
30/03/2021,15:19:00,Vuelo Privado con Matrícula Nacional,Domestico,Despegue,SVO,PED,0,PAA-PA-A-32RT300,0,DEFINITIVO
18/02/2021,18:53:00,No Regular,Domestico,Aterrizaje,BCA,DRY,FLYING AMERICA SA,FA-SA-227-AC,6,DEFINITIVO
21/07/2021,12:50:00,Regular,Domestico,Despegue,USU,AER,AEROLINEAS ARGENTINAS SA,BO-737-8,86,DEFINITIVO
04/10/2021,07:43:00,Regular,Domestico,Despegue,AER,USU,AEROLINEAS ARGENTINAS SA,BO-737-8BK,83,DEFINITIVO
28/08/2021,22:35:00,Regular,Internacional,Aterrizaje,EZE,KMIA,AEROLINEAS ARGENTINAS SA,AIB-A-330-223,0,DEFINITIVO
11/01/2021,14:38:00,Vuelo Privado con Matrícula Nacional,Domestico,Despegue,CHP,HLL,0,EL-407,1,DEFINITIVO
20/04/2021,02:34:00,No Regular,Domestico,Despegue,AER,EZE,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,0,DEFINITIVO
21/12/2021,16:12:00,Regular,Domestico,Aterrizaje,ECA,USU,AEROLINEAS ARGENTINAS SA,BO-737-8SH,35,DEFINITIVO
16/11/2021,18:37:00,1N,Domestico,Aterrizaje,JUA,AER,0,CE-525,2,DEFINITIVO
01/07/2021,18:20:00,Vuelo Escuela,Domestico,Aterrizaje,SRA,SRA,0,TEA-P2002 SIERRA,0,DEFINITIVO
14/02/2021,17:18:00,Regular,Domestico,Aterrizaje,EZE,UIS,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,31,DEFINITIVO
08/01/2021,13:18:00,Regular,Domestico,Aterrizaje,EZE,JUJ,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,46,DEFINITIVO
23/12/2021,23:13:00,Regular,Domestico,Aterrizaje,AER,NEU,AEROLINEAS ARGENTINAS SA,BO-B-737-76N,53,DEFINITIVO
22/05/2021,00:32:00,Regular,Domestico,Despegue,CBA,AER,AEROLINEAS ARGENTINAS SA,BO-B737-8MB,37,DEFINITIVO
12/04/2021,14:58:00,Vuelo Privado con Matrícula Nacional,Domestico,Aterrizaje,CHP,NEU,0,LJ-31-A,0,DEFINITIVO
17/09/2021,14:43:00,Regular,Domestico,Despegue,CBA,JUJ,AEROLINEAS ARGENTINAS SA,BO-737-8HX,42,DEFINITIVO
28/12/2021,19:32:00,Vuelo Privado con Matrícula Nacional,Internacional,Aterrizaje,FDO,SULS,0,BE-E-90,0,DEFINITIVO
18/05/2021,15:31:00,Vuelo Escuela,Domestico,Aterrizaje,MOR,MOR,0,CE-150-M,0,DEFINITIVO
13/11/2021,22:24:00,1R,Domestico,Aterrizaje,SAL,CBA,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,42,DEFINITIVO
