fecha,hora_utc,clase_de_vuelo_todos_los_vuelos,clasificacion_vuelo,tipo_de_movimiento,aeropuerto,origen_destino,aerolinea_nombre,aeronave,pasajeros,calidad_dato
01/01/2021,11:02:00,Regular,Domestico,Despegue,ECA,EZE,AEROLINEAS ARGENTINAS SA,BO-B737-800,3,DEFINITIVO
01/01/2021,11:06:00,Regular,Domestico,Aterrizaje,SAL,EZE,AEROLINEAS ARGENTINAS SA,BO-B-737-76N,59,DEFINITIVO
01/01/2021,11:10:00,Regular,Internacional,Aterrizaje,EZE,KATL,DELTA AIRLINES,0,123,DEFINITIVO
01/01/2021,11:25:00,Regular,Domestico,Despegue,JUJ,EZE,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,32,DEFINITIVO
01/01/2021,11:29:00,Regular,Domestico,Despegue,EZE,CBA,AEROLINEAS ARGENTINAS SA,BO-B737-8LP,66,DEFINITIVO
01/01/2021,11:30:00,Regular,Domestico,Despegue,BAR,EZE,AEROLINEAS ARGENTINAS SA,BO-737-800,1,DEFINITIVO
01/01/2021,11:41:00,Regular,Internacional,Despegue,EZE,KDFW,QATAR AIRWAYS,0,0,DEFINITIVO
01/01/2021,11:43:00,Regular,Domestico,Despegue,NEU,EZE,AEROLINEAS ARGENTINAS SA,BO-B737-800,46,DEFINITIVO
01/01/2021,11:47:00,Regular,Domestico,Despegue,EZE,ECA,AEROLINEAS ARGENTINAS SA,BO-737-8HX,64,DEFINITIVO
01/01/2021,11:48:00,Regular,Domestico,Aterrizaje,BAR,EZE,FB LÍNEAS AÉREAS - FLYBONDI,BO-737-86J,87,DEFINITIVO
01/01/2021,11:49:00,Regular,Internacional,Despegue,EZE,SBGR,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,37,DEFINITIVO
01/01/2021,12:05:00,Regular,Domestico,Aterrizaje,USU,EZE,AEROLINEAS ARGENTINAS SA,BO-B737-8MB,74,DEFINITIVO
01/01/2021,12:05:00,Regular,Domestico,Despegue,EZE,BAR,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,45,DEFINITIVO
01/01/2021,12:07:00,Regular,Domestico,Aterrizaje,TUC,EZE,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,43,DEFINITIVO
01/01/2021,12:12:00,Regular,Domestico,Aterrizaje,DOZ,EZE,AEROLINEAS ARGENTINAS SA,BO-737-800,67,DEFINITIVO
01/01/2021,12:12:00,Regular,Domestico,Despegue,EZE,MDP,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,43,DEFINITIVO
