entidad,num_dtto,nom_dtto,cargo,fuerza_politica,siglas,nombre_completo,total_gastos
MEXICO,Distrito 11,ECATEPEC DE MORELOS,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,RAUL ANGEL OTERO DIAZ,962625.61
MEXICO,Distrito 25,CHIMALHUACAN,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,GUADALUPE MERINO TRUJILLO,929291.14
MEXICO,Distrito 30,CHIMALHUACAN,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,MAURICIO PIÑA VALDES,942593.51
MEXICO,Distrito 16,ECATEPEC DE MORELOS,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,CRISTA AMANDA SPOHN GOTZEL,970310.5
MEXICO,Distrito 10,ECATEPEC DE MORELOS,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,MARTIN ALBERTO GARCIA MARQUEZ,936636.46
QUINTANA ROO,Distrito 4,CANCUN,DIPUTACION FEDERAL MR,VA POR MEXICO,VA POR MEXICO,MARIA DEL CARMEN JOAQUIN HERNANDEZ,1118611.49
BAJA CALIFORNIA,Distrito 6,TIJUANA,DIPUTACION FEDERAL MR,VA POR MEXICO,VA POR MEXICO,JACQUELINE NAVA MOUETT,818501.44
VERACRUZ,Distrito 14,MINATITLAN,DIPUTACION FEDERAL MR,VA POR MEXICO,VA POR MEXICO,FREDY AYALA GONZALEZ,1086074.68
"NAYARIT",Distrito 2,TEPIC,DIPUTACION FEDERAL MR,VA POR MEXICO,VA POR MEXICO,LEOPOLDO DOMINGUEZ GONZALEZ,1251007.26
BAJA CALIFORNIA,Distrito 4,TIJUANA,DIPUTACION FEDERAL MR,VA POR MEXICO,VA POR MEXICO,HORTENSIA HERNANDEZ MENDOZA,1200238.95
PUEBLA,Distrito 4,AJALPAN,DIPUTACION FEDERAL MR,VA POR MEXICO,VA POR MEXICO,JOSE ARMANDO GARCIA AVENDAÑO,1091961.56
JALISCO,Distrito 12,TLAJOMULCO DE ZUÑIGA,DIPUTACION FEDERAL MR,VA POR MEXICO,VA POR MEXICO,ANA LAURA CHAVEZ VELARDE,1063267.75
BAJA CALIFORNIA,Distrito 8,TIJUANA,DIPUTACION FEDERAL MR,VA POR MEXICO,VA POR MEXICO,IGNACIO ANAYA BARRIGUETE,1013065.5
COLIMA,Distrito 1,COLIMA,DIPUTACION FEDERAL MR,VA POR MEXICO,VA POR MEXICO,RIULT RIVERA GUTIERREZ,1002984.94
CHIAPAS,Distrito 7,TONALA,DIPUTACION FEDERAL MR,VA POR MEXICO,VA POR MEXICO,FEDERICO OVALLE VAQUERA,868.66
MEXICO,Distrito 4,NICOLAS ROMERO,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,CONSTANCIO CRUZ RODRIGUEZ,951721.45
MEXICO,Distrito 37,CUAUTITLAN,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,JAIR OCTAVIO MARTINEZ FLORES,1193966.67
BAJA CALIFORNIA,Distrito 2,MEXICALI,DIPUTACION FEDERAL MR,PARTIDO REVOLUCIONARIO INSTITUCIONAL,PRI,VICTOR MANUEL SANCHEZ SAENZ,1050826.53
GUANAJUATO,Distrito 1,SAN LUIS DE LA PAZ,DIPUTACION FEDERAL MR,PARTIDO REVOLUCIONARIO INSTITUCIONAL,PRI,MONSERRAT BANDA ARTEAGA,1076675.62
MEXICO,Distrito 13,ECATEPEC DE MORELOS,DIPUTACION FEDERAL MR,PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,PRD,BRENDA BERENICE OSORIO MENDOZA,1363491.79
GUANAJUATO,Distrito 12,CELAYA,DIPUTACION FEDERAL MR,PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,PRD,JOSE CARLOS CALLEJA LOPEZ,1158598.89
TAMAULIPAS,Distrito 7,CIUDAD MADERO,DIPUTACION FEDERAL MR,PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,PRD,FERNANDO ALEJANDRO GUTIERREZ MEDINA,1146778.32
MEXICO,Distrito 23,LERMA DE VILLADA,DIPUTACION FEDERAL MR,PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,PRD,GUADALUPE TRINIDAD REYES,1178499.12
GUANAJUATO,Distrito 2,SAN MIGUEL DE ALLENDE,DIPUTACION FEDERAL MR,PARTIDO DEL TRABAJO,PT,FERNANDO GARCIA CHAVEZ,999785.29
YUCATAN,Distrito 3,MERIDA,DIPUTACION FEDERAL MR,PARTIDO VERDE ECOLOGISTA DE MÉXICO,PVEM,GUADALUPE GONZALEZ CAAMAL,971068.4
MEXICO,Distrito 25,CHIMALHUACAN,DIPUTACION FEDERAL MR,PARTIDO VERDE ECOLOGISTA DE MÉXICO,PVEM,YOLOTZIN MONSERRAT MANCERA MARTINEZ,804808.36
CAMPECHE,Distrito 2,CIUDAD DEL CARMEN,DIPUTACION FEDERAL MR,PARTIDO VERDE ECOLOGISTA DE MÉXICO,PVEM,RUBISEL DEL ANGEL ESCOBEDO CASTILLO,600229.02
TLAXCALA,Distrito 3,ZACATELCO,DIPUTACION FEDERAL MR,MORENA,MORENA,CARLOS AUGUSTO PEREZ HERNANDEZ,632607.26
"NAYARIT",Distrito 3,COMPOSTELA,DIPUTACION FEDERAL MR,PARTIDO ENCUENTRO SOLIDARIO,PES,CRISTIAN DE JESUS VAZQUEZ GUZMAN,92838.01
VERACRUZ,Distrito 2,TANTOYUCA,DIPUTACION FEDERAL MR,PARTIDO ENCUENTRO SOLIDARIO,PES,SOLEDAD RAMIREZ MARTINEZ,83226.04
MORELOS,Distrito 1,CUERNAVACA,DIPUTACION FEDERAL MR,PARTIDO ENCUENTRO SOLIDARIO,PES,VIANEY NAJERA VAZQUEZ,231389.04
CIUDAD DE MEXICO,Distrito 18,IZTAPALAPA,DIPUTACION FEDERAL MR,PARTIDO ENCUENTRO SOLIDARIO,PES,MOISES LUIS CAMPOS NERIA,98760.88
MEXICO,Distrito 19,TLALNEPANTLA DE BAZ,DIPUTACION FEDERAL MR,PARTIDO ENCUENTRO SOLIDARIO,PES,CRHYSTOPHER DANIEL VILLANUEVA VAZQUEZ,82717.66
MEXICO,Distrito 25,CHIMALHUACAN,DIPUTACION FEDERAL MR,PARTIDO ENCUENTRO SOLIDARIO,PES,JESUS GUSTAVO EMILIO RANGEL,82717.66
CIUDAD DE MEXICO,Distrito 22,IZTAPALAPA,DIPUTACION FEDERAL MR,PARTIDO ENCUENTRO SOLIDARIO,PES,GUSTAVO ESTRADA HERNANDEZ,95833.78
BAJA CALIFORNIA SUR,Distrito 2,SAN JOSE DEL CABO,DIPUTACION FEDERAL MR,REDES SOCIALES PROGRESISTAS,RSPPPN,SUHEIDI YADIRA DIAZ PANTALEON,106437.81
HIDALGO,Distrito 2,IXMIQUILPAN,DIPUTACION FEDERAL MR,REDES SOCIALES PROGRESISTAS,RSPPPN,SILVIANA GUERRERO TREJO,39947.81
QUINTANA ROO,Distrito 4,CANCUN,DIPUTACION FEDERAL MR,REDES SOCIALES PROGRESISTAS,RSPPPN,IRIS JAQUELINE AVILA CALDERON,110947.81
TABASCO,Distrito 5,PARAISO,DIPUTACION FEDERAL MR,REDES SOCIALES PROGRESISTAS,RSPPPN,ALBERTO SANTOS MORALES,77706.18
JALISCO,Distrito 19,CIUDAD GUZMAN,DIPUTACION FEDERAL MR,REDES SOCIALES PROGRESISTAS,RSPPPN,CUITLAHUAC FERNANDO SANTILLAN OCAMPO,54354.71
COAHUILA,Distrito 1,PIEDRAS NEGRAS,DIPUTACION FEDERAL MR,REDES SOCIALES PROGRESISTAS,RSPPPN,BLANCA LUCIA ESTRADA MENDOZA,51297.81
MEXICO,Distrito 37,CUAUTITLAN,DIPUTACION FEDERAL MR,REDES SOCIALES PROGRESISTAS,RSPPPN,BRENDA VAZQUEZ LOZA,81293.07
OAXACA,Distrito 3,HEROICA CIUDAD DE HUAJUAPAN DE LEON,DIPUTACION FEDERAL MR,FUERZA POR MÉXICO,FS X MÉXICO,ARCELIA RODRIGUEZ CARREÑO,239754.59
YUCATAN,Distrito 3,MERIDA,DIPUTACION FEDERAL MR,PARTIDO REVOLUCIONARIO INSTITUCIONAL,PRI,PABLO GAMBOA MINER,1187041.77
YUCATAN,Distrito 2,PROGRESO,DIPUTACION FEDERAL MR,PARTIDO REVOLUCIONARIO INSTITUCIONAL,PRI,MARIA ESTER ALONZO MORALES,1252172.56
YUCATAN,Distrito 1,VALLADOLID,DIPUTACION FEDERAL MR,PARTIDO REVOLUCIONARIO INSTITUCIONAL,PRI,SANSON ISRAEL PALMA SANTOS,1120507.77
YUCATAN,Distrito 4,MERIDA,DIPUTACION FEDERAL MR,PARTIDO REVOLUCIONARIO INSTITUCIONAL,PRI,ANA GABRIELA CEJUDO VALENCIA,1390406.6
AGUASCALIENTES,Distrito 3,AGUASCALIENTES,DIPUTACION FEDERAL MR,PARTIDO REVOLUCIONARIO INSTITUCIONAL,PRI,LUIS FRANCISCO GERARDO PONCE MORAN,1079059.14
COAHUILA,Distrito 3,MONCLOVA,DIPUTACION FEDERAL MR,PARTIDO REVOLUCIONARIO INSTITUCIONAL,PRI,CRISTINA AMEZCUA GONZALEZ,1314507.26
AGUASCALIENTES,Distrito 2,AGUASCALIENTES,DIPUTACION FEDERAL MR,PARTIDO REVOLUCIONARIO INSTITUCIONAL,PRI,ROBERTO LAMAS DE ALBA,1150301.12
COAHUILA,Distrito 4,SALTILLO,DIPUTACION FEDERAL MR,PARTIDO REVOLUCIONARIO INSTITUCIONAL,PRI,YERICO ABRAMO MASSO,1366761.01
COAHUILA,Distrito 1,PIEDRAS NEGRAS,DIPUTACION FEDERAL MR,PARTIDO REVOLUCIONARIO INSTITUCIONAL,PRI,MARCOS VILLAREAL SUDAY,1319995.39
CIUDAD DE MEXICO,Distrito 3,AZCAPOTZALCO,DIPUTACION FEDERAL MR,PARTIDO ENCUENTRO SOLIDARIO,PES,DAVID DANIEL RAZO URIBE,142432.38
CIUDAD DE MEXICO,Distrito 3,AZCAPOTZALCO,DIPUTACION FEDERAL MR,VA POR MEXICO,VA POR MEXICO,WENDY GONZALEZ URRUTIA,1152711.49
CIUDAD DE MEXICO,Distrito 3,AZCAPOTZALCO,DIPUTACION FEDERAL MR,REDES SOCIALES PROGRESISTAS,RSPPPN,FABIANA AVILA ALCOCER,129245.6
CIUDAD DE MEXICO,Distrito 3,AZCAPOTZALCO,DIPUTACION FEDERAL MR,MOVIMIENTO CIUDADANO,MOVIMIENTO CIUDADANO,JUSTO MONTESINOS LOPEZ,446507.49
CIUDAD DE MEXICO,Distrito 3,AZCAPOTZALCO,DIPUTACION FEDERAL MR,JUNTOS HACEMOS HISTORIA,JUNTOS HACEMOS HISTORIA,GABRIELA GEORGINA JIMENEZ GODOY,1179058.51
CIUDAD DE MEXICO,Distrito 3,AZCAPOTZALCO,DIPUTACION FEDERAL MR,FUERZA POR MÉXICO,FS X MÉXICO,FERNANDO ESPINO GONZALEZ,236440.54
QUERETARO,Distrito 5,EL PUEBLITO,DIPUTACION FEDERAL MR,PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,PRD,LETICIA REAL MEDINA,973781.87
QUERETARO,Distrito 2,SAN JUAN DEL RIO,DIPUTACION FEDERAL MR,PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,PRD,YLSSE LORENA PONCE HERNANDEZ,1148240.18
QUERETARO,Distrito 3,SANTIAGO DE QUERETARO,DIPUTACION FEDERAL MR,PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,PRD,SANDRA EDITH LOPEZ OJEDA,977059.08
QUERETARO,Distrito 4,SANTIAGO DE QUERETARO,DIPUTACION FEDERAL MR,PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,PRD,HUMBERTO GERARDO RUIZ LOPEZ,972706.04
QUERETARO,Distrito 1,CADEREYTA DE MONTES,DIPUTACION FEDERAL MR,PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,PRD,JOCELYN HERNANDEZ DOMINGUEZ,829443.66
MEXICO,Distrito 11,ECATEPEC DE MORELOS,DIPUTACION FEDERAL MR,PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,PRD,ELISEO MENDOZA MOHEDANO,1235872.93
GUERRERO,Distrito 2,IGUALA,DIPUTACION FEDERAL MR,PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,PRD,LAZARO MAZON ALONSO,1322995.36
BAJA CALIFORNIA,Distrito 2,MEXICALI,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,MARIA TERESA BABUN VILLARREAL,1099395.26
MEXICO,Distrito 5,TEOTIHUACAN DE ARISTA,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,ANEL MARTINEZ PEREZ,1040100.44
NUEVO LEON,Distrito 10,MONTERREY,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,CARMINA CANTU TREVIÑO,1008999.09
YUCATAN,Distrito 5,TICUL,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,YESENIA DEL CARMEN POLANCO ROSS,1088233.88
NUEVO LEON,Distrito 11,GUADALUPE,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,PEDRO GARZA TREVIÑO,994167.56
NUEVO LEON,Distrito 12,BENITO JUAREZ,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,MIGUEL ANGEL LOZANO MUNGUIA,808851.26
GUANAJUATO,Distrito 7,SAN FRANCISCO DEL RINCON,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,KAREN MICHEL GONZALEZ MARQUEZ,1099670.09
GUANAJUATO,Distrito 3,LEON,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,FERNANDO TORRES GRACIANO,1210122.49
GUANAJUATO,Distrito 13,VALLE DE SANTIAGO,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,ROCIO AMBRIZ ARREDONDO,1175162.42
NUEVO LEON,Distrito 2,APODACA,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,KARLA BETSABE QUIROZ PUENTE,1042339.13
YUCATAN,Distrito 2,PROGRESO,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,MARIA DEL CARMEN ORDAZ MARTINEZ,1217066.92
GUANAJUATO,Distrito 5,LEON,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,ECTOR JAIME RAMIREZ BARBA,1213270.88
GUANAJUATO,Distrito 14,ACAMBARO,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,ESTHER MANDUJANO TINAJERO,1180007.91
GUANAJUATO,Distrito 4,GUANAJUATO,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,JUAN CARLOS ROMERO HICKS,1173539.56
CHIHUAHUA,Distrito 6,CHIHUAHUA,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,LAURA PATRICIA CONTRERAS DUARTE,1207638
GUANAJUATO,Distrito 6,LEON,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,ANA MARIA ESQUIVEL ARRONA,1145574.99
QUERETARO,Distrito 2,SAN JUAN DEL RIO,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,MARCIA SOLORZANO GALLEGO,1091665.33
MEXICO,Distrito 18,HUIXQUILUCAN DE DEGOLLADO,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,JOSE ANTONIO GARCIA GARCIA,1168390.33
GUANAJUATO,Distrito 12,CELAYA,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,SARAI NUÑEZ CERON,1171961.11
NUEVO LEON,Distrito 8,GUADALUPE,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,ALICIA JANETH LIZARRAGA CEPEDA,1032488.09
AGUASCALIENTES,Distrito 3,AGUASCALIENTES,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,PAULO GONZALO MARTINEZ LOPEZ,1370589.13
CHIHUAHUA,Distrito 8,CHIHUAHUA,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,CARMEN ROCIO GONZALEZ ALONSO,1190348.55
AGUASCALIENTES,Distrito 2,AGUASCALIENTES,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,MONICA BECERRA MORENO,1327367.16
YUCATAN,Distrito 3,MERIDA,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,ROMMEL AGHMED PACHECO MARRUFO,999536.59
YUCATAN,Distrito 4,MERIDA,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,CECILIA ANUNCIACION PATRON LAVIADA,994029.89
GUANAJUATO,Distrito 1,SAN LUIS DE LA PAZ,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,BERENICE MONTES ESTRADA,1191420.95
GUANAJUATO,Distrito 9,IRAPUATO,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,JORGE ALBERTO ROMERO VAZQUEZ,1191386.43
MEXICO,Distrito 13,ECATEPEC DE MORELOS,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,ROSA ISELVA LARA MORALES,968725.52
GUANAJUATO,Distrito 10,URIANGATO,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,KARLA ALEJANDRINA LANUZA HERNANDEZ,1202019.49
MEXICO,Distrito 17,ECATEPEC DE MORELOS,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,IRMA DE LA LUZ BALDERRAMA CAMACHO,848955.59
GUANAJUATO,Distrito 11,LEON,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,JORGE ARTURO ESPADAS GALVAN,1186363.19
QUERETARO,Distrito 1,CADEREYTA DE MONTES,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,SONIA ROCHA ACOSTA,1016366.8
NUEVO LEON,Distrito 9,LINARES,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,EDELMIRO CAVAZOS VALDES,953540.45
MEXICO,Distrito 8,TULTITLAN DE MARIANO ESCOBEDO,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,DIANA ITZEL RODRIGUEZ ESPINOZA,1022563.12
NUEVO LEON,Distrito 6,MONTERREY,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,ANNIA SARAHI GOMEZ CARDENAS,1037039.03
COAHUILA,Distrito 2,SAN PEDRO,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,MARCELA CASTELLANOS RENTERIA,1135830.24
COAHUILA,Distrito 4,SALTILLO,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,ESTHER QUINTANA SALINAS,1114073.33
COAHUILA,Distrito 1,PIEDRAS NEGRAS,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,GUILLERMO ARTURO SANCHEZ GARCIA,1109713.09
COAHUILA,Distrito 5,TORREON,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,JORGE ZERMEÑO INFANTE,1210678.99
MORELOS,Distrito 1,CUERNAVACA,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,OSCAR DANIEL MARTINEZ TERRAZAS,1176405.54
TAMAULIPAS,Distrito 6,CIUDAD MANTE,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,VICENTE JAVIER VERASTEGUI OSTOS,1124763.36
TAMAULIPAS,Distrito 9,REYNOSA,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,GERARDO PEÑA FLORES,1144961.94
QUERETARO,Distrito 5,EL PUEBLITO,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,ERIKA DE LOS ANGELES DIAZ VILLALON,868934.84
TAMAULIPAS,Distrito 3,RIO BRAVO,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,MA DEL CARMEN PEREZ ROSAS,1117090.4
MEXICO,Distrito 22,"NAUCALPAN DE JUAREZ",DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,IVAN ARTURO RODRIGUEZ RIVERA,1167784.5
TAMAULIPAS,Distrito 2,REYNOSA,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,BLANCA LETICIA GUTIERREZ GARZA,1116463.84
MORELOS,Distrito 4,JOJUTLA,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,JULIO CESAR ORTIZ POPOCA,954888.61
TAMAULIPAS,Distrito 8,TAMPICO,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,ROSA MARIA GONZALEZ AZCARRAGA,1099419.07
COAHUILA,Distrito 7,SALTILLO,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,LAURA KARINA RAMIREZ RAMIREZ,1096223.8
NUEVO LEON,Distrito 3,GRAL. ESCOBEDO,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,WENDY MARICELA CORDERO GONZALEZ,1031431.63
MORELOS,Distrito 5,YAUTEPEC,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,JOSE OMAR SEDANO GARCIA,961767.64
MORELOS,Distrito 2,JIUTEPEC,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,RICARDO DORANTES SAN MARTIN,998680.97
QUERETARO,Distrito 4,SANTIAGO DE QUERETARO,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,FELIPE FERNANDO MACIAS OLVERA,916758.17
NUEVO LEON,Distrito 7,GARCIA,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,MANUEL FLORENTINO GONZALEZ FLORES,1081255.68
YUCATAN,Distrito 1,VALLADOLID,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,SERGIO ENRRIQUE CHALE CAUICH,1069488.53
MORELOS,Distrito 3,CUAUTLA,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,"NANCY GUADALUPE ECHEVERRIA GUERRERO",973776.81
TAMAULIPAS,Distrito 5,CIUDAD VICTORIA,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,OSCAR DE JESUS ALMARAZ SMER,1178940.32
NUEVO LEON,Distrito 1,SANTA CATARINA,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,HECTOR ISRAEL CASTILLO OLIVARES,1021645.25
GUANAJUATO,Distrito 15,IRAPUATO,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,ITZEL JOSEFINA BALDERAS HERNANDEZ,1112094.94
GUERRERO,Distrito 2,IGUALA,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,YESENIA GALARZA CASTRO,1314821
TAMAULIPAS,Distrito 4,H. MATAMOROS,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,MONICA GONZALEZ GARCIA,1117349.39
TAMAULIPAS,Distrito 1,NUEVO LAREDO,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,JOSE SALVADOR ROSAS QUINTANILLA,1107167.28
COAHUILA,Distrito 3,MONCLOVA,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,JESUS ALFREDO PAREDES LOPEZ,1202176.08
NUEVO LEON,Distrito 5,MONTERREY,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,PAULA MAYELA PALOMO LEYVA,865043.35
QUERETARO,Distrito 3,SANTIAGO DE QUERETARO,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,IGNACIO LOYOLA VERA,1013921.98
NUEVO LEON,Distrito 4,SAN NICOLAS DE LOS GARZA,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,PEDRO SALGADO ALMAGUER,1068381.22
TAMAULIPAS,Distrito 7,CIUDAD MADERO,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,JOAQUIN ANTONIO HERNANDEZ CORREA,1148307.25
COAHUILA,Distrito 6,TORREON,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,FERNANDO IZAGUIRRE VALDES,1281576.13
MEXICO,Distrito 23,LERMA DE VILLADA,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,SANDRA CECILIA BARBERO SALAS,999141.31
MEXICO,Distrito 28,ZUMPANGO DE OCAMPO,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,DANIEL PARRA ANGELES,985818.39
MEXICO,Distrito 21,AMECAMECA DE JUAREZ,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,VICTOR CARRANZA GALINDO,961469.91
GUANAJUATO,Distrito 2,SAN MIGUEL DE ALLENDE,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,RICARDO VILLARREAL GARCIA,1182301.99
MEXICO,Distrito 38,TEXCOCO DE MORA,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,IVONNE BUSTAMANTE ALDANA,942470.14
NUEVO LEON,Distrito 8,GUADALUPE,DIPUTACION FEDERAL MR,PARTIDO REVOLUCIONARIO INSTITUCIONAL,PRI,MA DE JESUS AGUIRRE MALDONADO,1421695.25
NUEVO LEON,Distrito 2,APODACA,DIPUTACION FEDERAL MR,PARTIDO REVOLUCIONARIO INSTITUCIONAL,PRI,ANDRES MAURICIO CANTU RAMIREZ,1439174.12
NUEVO LEON,Distrito 1,SANTA CATARINA,DIPUTACION FEDERAL MR,PARTIDO REVOLUCIONARIO INSTITUCIONAL,PRI,VERA GARCIA HINOJOSA,1134029.49
NUEVO LEON,Distrito 10,MONTERREY,DIPUTACION FEDERAL MR,PARTIDO REVOLUCIONARIO INSTITUCIONAL,PRI,KARINA MARLEN BARRON PERALES,1262558.06
NUEVO LEON,Distrito 12,BENITO JUAREZ,DIPUTACION FEDERAL MR,PARTIDO REVOLUCIONARIO INSTITUCIONAL,PRI,JOSE LUIS GARZA OCHOA,1431125.26
NUEVO LEON,Distrito 7,GARCIA,DIPUTACION FEDERAL MR,PARTIDO REVOLUCIONARIO INSTITUCIONAL,PRI,ESPERANZA ALICIA RODRIGUEZ LOPEZ,1192992.94
NUEVO LEON,Distrito 6,MONTERREY,DIPUTACION FEDERAL MR,PARTIDO REVOLUCIONARIO INSTITUCIONAL,PRI,RAUL ALCALA GALLEGOS,1155282.92
NUEVO LEON,Distrito 11,GUADALUPE,DIPUTACION FEDERAL MR,PARTIDO REVOLUCIONARIO INSTITUCIONAL,PRI,ARTURO ARAM CARMONA RODRIGUEZ,1096653.39
JALISCO,Distrito 3,TEPATITLAN DE MORELOS,DIPUTACION FEDERAL MR,MOVIMIENTO CIUDADANO,MOVIMIENTO CIUDADANO,HECTOR HUGO BRAVO HERNANDEZ,1024183.04
