entidad,num_dtto,nom_dtto,cargo,fuerza_politica,siglas,nombre_completo,total_gastos
MEXICO,Distrito 34,TOLUCA DE LERDO,DIPUTACION FEDERAL MR,VA POR MEXICO,VA POR MEXICO,MARIA TERESA CASTELL DE ORO PALACIOS,1119375.53
MEXICO,Distrito 15,CIUDAD ADOLFO LOPEZ MATEOS,DIPUTACION FEDERAL MR,VA POR MEXICO,VA POR MEXICO,CARLOS MADRAZO LIMON,1171629.82
MEXICO,Distrito 27,METEPEC,DIPUTACION FEDERAL MR,REDES SOCIALES PROGRESISTAS,RSPPPN,MARIA VANESSA LANGUENDIK MUÑOZ,172829.71
VERACRUZ,Distrito 16,CORDOBA,DIPUTACION FEDERAL MR,REDES SOCIALES PROGRESISTAS,RSPPPN,LUCIA DOLORES VENTURA CASTILLO,59811.71
TAMAULIPAS,Distrito 5,CIUDAD VICTORIA,DIPUTACION FEDERAL MR,REDES SOCIALES PROGRESISTAS,RSPPPN,ENRIQUE MELENDEZ PEREZ,39947.81
MEXICO,Distrito 31,CD. NEZAHUALCOYOTL,DIPUTACION FEDERAL MR,REDES SOCIALES PROGRESISTAS,RSPPPN,MARGARITA VARGAS VAZQUEZ,91283.78
VERACRUZ,Distrito 10,XALAPA,DIPUTACION FEDERAL MR,PARTIDO ENCUENTRO SOLIDARIO,PES,FAUSTINO SUAREZ RODRIGUEZ,84366.54
JALISCO,Distrito 2,LAGOS DE MORENO,DIPUTACION FEDERAL MR,VA POR MEXICO,VA POR MEXICO,MARTHA ESTELA ROMO CUELLAR,1039041.02
MEXICO,Distrito 14,CIUDAD ADOLFO LOPEZ MATEOS,DIPUTACION FEDERAL MR,REDES SOCIALES PROGRESISTAS,RSPPPN,ELIZABETH GRACIELA ALCANTARA FRIEDL,152309.43
MEXICO,Distrito 19,TLALNEPANTLA DE BAZ,DIPUTACION FEDERAL MR,VA POR MEXICO,VA POR MEXICO,KRISHNA KARINA ROMERO VELAZQUEZ,1207391.26
CHIHUAHUA,Distrito 5,DELICIAS,DIPUTACION FEDERAL MR,VA POR MEXICO,VA POR MEXICO,MARIO MATA CARRASCO,997248.5
VERACRUZ,Distrito 20,COSOLEACAQUE,DIPUTACION FEDERAL MR,REDES SOCIALES PROGRESISTAS,RSPPPN,IRMA LIZETTE DEL ANGEL TELLEZ,54754.71
CHIHUAHUA,Distrito 4,JUAREZ,DIPUTACION FEDERAL MR,PARTIDO ENCUENTRO SOLIDARIO,PES,RICARDO MELGOZA RAMOS,89000.9
MEXICO,Distrito 2,SANTA MARIA TULTEPEC,DIPUTACION FEDERAL MR,REDES SOCIALES PROGRESISTAS,RSPPPN,BRENDA JOCELYNE PATRICIO AGUILAR,81293.07
VERACRUZ,Distrito 4,VERACRUZ,DIPUTACION FEDERAL MR,REDES SOCIALES PROGRESISTAS,RSPPPN,TEREZA CRUZ FLORES,54354.71
VERACRUZ,Distrito 6,PAPANTLA DE OLARTE,DIPUTACION FEDERAL MR,REDES SOCIALES PROGRESISTAS,RSPPPN,BLANCA NINFA CRUZ NAJERA,54354.71
MEXICO,Distrito 10,ECATEPEC DE MORELOS,DIPUTACION FEDERAL MR,PARTIDO ENCUENTRO SOLIDARIO,PES,KARLA YURIKO GARDUÑO RODRIGUEZ,83083.06
GUANAJUATO,Distrito 4,GUANAJUATO,DIPUTACION FEDERAL MR,REDES SOCIALES PROGRESISTAS,RSPPPN,MARIBEL URIBE BUENDIA,58485.55
VERACRUZ,Distrito 10,XALAPA,DIPUTACION FEDERAL MR,REDES SOCIALES PROGRESISTAS,RSPPPN,MIGUEL HEXAHELT REYES LANDA,54755.71
GUANAJUATO,Distrito 1,SAN LUIS DE LA PAZ,DIPUTACION FEDERAL MR,REDES SOCIALES PROGRESISTAS,RSPPPN,ADRIANA GUADALUPE GONZALEZ GARCIA,51692.27
GUANAJUATO,Distrito 8,SALAMANCA,DIPUTACION FEDERAL MR,REDES SOCIALES PROGRESISTAS,RSPPPN,SAUL ARAN ARELLANO,58485.55
VERACRUZ,Distrito 12,VERACRUZ,DIPUTACION FEDERAL MR,PARTIDO ENCUENTRO SOLIDARIO,PES,PABLO CABALLERO PEREZ,87606.04
MEXICO,Distrito 18,HUIXQUILUCAN DE DEGOLLADO,DIPUTACION FEDERAL MR,REDES SOCIALES PROGRESISTAS,RSPPPN,CLAUDIA PEREZ PALACIOS,109854.26
PUEBLA,Distrito 2,CUAUTILULCO BARRIO,DIPUTACION FEDERAL MR,PARTIDO ENCUENTRO SOLIDARIO,PES,PIEDAD LORENZO PEREZ,87484.23
MEXICO,Distrito 16,ECATEPEC DE MORELOS,DIPUTACION FEDERAL MR,REDES SOCIALES PROGRESISTAS,RSPPPN,MONICA TORRES SALVATTI,79523.84
CHIHUAHUA,Distrito 7,CUAUHTEMOC,DIPUTACION FEDERAL MR,PARTIDO ENCUENTRO SOLIDARIO,PES,JORGE ALBERTO ESPINOZA OROZCO,88998.33
MICHOACAN,Distrito 7,ZACAPU,DIPUTACION FEDERAL MR,VA POR MEXICO,VA POR MEXICO,ADRIANA CAMPOS HUIRACHE,1234891.64
MEXICO,Distrito 24,"NAUCALPAN DE JUAREZ",DIPUTACION FEDERAL MR,JUNTOS HACEMOS HISTORIA,JUNTOS HACEMOS HISTORIA,MARIA DE LOS ANGELES HUERTA DEL RIO,923601.8
MEXICO,Distrito 8,TULTITLAN DE MARIANO ESCOBEDO,DIPUTACION FEDERAL MR,REDES SOCIALES PROGRESISTAS,RSPPPN,JAIME HERNANDEZ ROSAS,81293.07
MEXICO,Distrito 9,SAN FELIPE DEL PROGRESO,DIPUTACION FEDERAL MR,REDES SOCIALES PROGRESISTAS,RSPPPN,MARCELINA BERNAL MARTINEZ,79523.84
JALISCO,Distrito 3,TEPATITLAN DE MORELOS,DIPUTACION FEDERAL MR,VA POR MEXICO,VA POR MEXICO,DESIDERIO TINAJERO ROBLES,1057291.17
MEXICO,Distrito 35,TENANCINGO DE DEGOLLADO,DIPUTACION FEDERAL MR,REDES SOCIALES PROGRESISTAS,RSPPPN,AMALIA DE JESUS FLORES HERNANDEZ,79523.84
MEXICO,Distrito 36,TEJUPILCO DE HIDALGO,DIPUTACION FEDERAL MR,REDES SOCIALES PROGRESISTAS,RSPPPN,DIANA BERENICE RIOS GARCIA,95523.84
SAN LUIS POTOSI,Distrito 3,RIOVERDE,DIPUTACION FEDERAL MR,VA POR MEXICO,VA POR MEXICO,OSCAR BAUTISTA VILLEGAS,1123152.34
MEXICO,Distrito 38,TEXCOCO DE MORA,DIPUTACION FEDERAL MR,REDES SOCIALES PROGRESISTAS,RSPPPN,JOSE DANIEL JIMENEZ VARGAS,81293.07
TAMAULIPAS,Distrito 7,CIUDAD MADERO,DIPUTACION FEDERAL MR,REDES SOCIALES PROGRESISTAS,RSPPPN,ROSA OFELIA VALADEZ BARREDA,39947.81
MEXICO,Distrito 39,LOS REYES ACAQUILPAN,DIPUTACION FEDERAL MR,REDES SOCIALES PROGRESISTAS,RSPPPN,(CANCELADO),79523.84
VERACRUZ,Distrito 2,TANTOYUCA,DIPUTACION FEDERAL MR,VA POR MEXICO,VA POR MEXICO,ERIC ABRAHAM SOSA MAR,1070667.42
MEXICO,Distrito 40,SAN MIGUEL ZINACANTEPEC,DIPUTACION FEDERAL MR,REDES SOCIALES PROGRESISTAS,RSPPPN,YAZMIN DE LA VEGA BECERRIL,81293.08
GUANAJUATO,Distrito 3,LEON,DIPUTACION FEDERAL MR,REDES SOCIALES PROGRESISTAS,RSPPPN,MARIA FERNANDA VAZQUEZ GOMEZ,74145.55
MEXICO,Distrito 21,AMECAMECA DE JUAREZ,DIPUTACION FEDERAL MR,REDES SOCIALES PROGRESISTAS,RSPPPN,HEODUITH DESSIRE ARGENTINA GONZALEZ MIJARES,86823.84
PUEBLA,Distrito 3,TEZIUTLAN,DIPUTACION FEDERAL MR,PARTIDO ENCUENTRO SOLIDARIO,PES,VICTOR MANUEL ZAMITIZ DELGADILLO,88838.07
VERACRUZ,Distrito 11,COATZACOALCOS,DIPUTACION FEDERAL MR,PARTIDO ENCUENTRO SOLIDARIO,PES,JORGE ENRIQUE PUIG VILLAMAYOR,88846.44
