folio,punto,edo,mun,secc,latitude,longitude,tipo_secc,df,fecha,int,p05,p06,p07,p08,p09a,p10a,p09b,p10b,p09c,p10c,p09d,p10d,p11,p12,p13,p14,p15,p16,bol1,bol2,bol3,bol1_rec,bol2_rec,bol3_rec,edadrec,nse_1,nse_2,nse_3,nse_4,nse_5,nse_6,nse_suma,nse,pond
381,39,JALISCO,TALA,2193,NA,NA,1,1,2018-06-21,46,1,1,27,1,1,2,1,2,1,3,1,3,1,2,2,10,2,1,8,3,3,3,1,1,2,23,47,18,31,15,12,146,3,1.2131746967699626
382,39,JALISCO,TALA,2193,NA,NA,1,1,2018-06-21,9,1,1,75,2,1,4,1,4,1,1,1,3,2,97,1,10,10,1,2,2,2,2,2,2,5,73,47,0,31,0,12,163,3,1.241264857705668
383,39,JALISCO,TALA,2193,NA,NA,1,1,2018-06-21,1,1,1,48,2,1,2,1,3,1,3,1,2,1,1,97,7,8,1,11,NA,NA,5,NA,NA,4,43,47,0,0,15,12,117,4,0.8090416054172485
384,39,JALISCO,TALA,2193,NA,NA,1,1,2018-06-21,2,1,1,49,2,1,2,1,1,1,2,1,2,2,2,2,5,2,1,8,1,6,3,1,1,4,10,24,0,31,31,12,108,5,0.7158485875051572
385,39,JALISCO,TALA,2193,NA,NA,1,1,2018-06-21,2,1,1,63,2,1,1,1,1,1,3,1,2,1,1,2,5,8,1,1,10,1,1,4,1,5,22,24,18,0,46,17,127,4,1.2541197812720648
386,39,JALISCO,TALA,2193,NA,NA,1,1,2018-06-21,34,1,1,64,1,1,99,1,2,1,3,1,99,1,2,2,10,10,1,8,8,8,3,3,3,5,73,47,37,31,0,17,205,2,1.098234437233637
387,39,JALISCO,TALA,2193,NA,NA,1,1,2018-06-21,2,1,1,37,1,1,2,1,2,1,2,1,2,2,2,2,7,1,1,2,2,2,2,2,2,3,31,47,18,31,31,6,164,3,1.1115437160837236
388,39,JALISCO,TALA,2193,NA,NA,1,1,2018-06-21,39,1,1,38,2,1,2,1,1,1,2,1,4,1,2,2,2,6,1,4,NA,4,3,NA,3,3,22,24,0,0,46,12,104,5,0.7930709979269536
389,39,JALISCO,TALA,2193,NA,NA,1,1,2018-06-21,8,1,1,73,1,1,99,1,2,1,2,2,NA,2,2,2,2,9,1,8,NA,NA,3,NA,NA,5,10,24,18,31,15,12,110,4,1.098234437233637
390,39,JALISCO,TALA,2193,NA,NA,1,1,2018-06-21,1,1,1,55,2,1,2,1,3,1,2,2,NA,1,1,1,5,8,1,6,NA,6,1,NA,1,4,31,47,0,31,46,23,178,2,1.9330688547634827
391,40,JALISCO,TECALITLAN,2283,NA,NA,2,19,2018-06-25,10,1,1,42,2,1,2,1,3,1,2,1,2,2,98,1,2,8,1,1,5,6,1,2,1,3,0,24,0,0,0,17,41,7,0.14326475608341865
392,40,JALISCO,TECALITLAN,2283,NA,NA,2,19,2018-06-25,2,1,1,45,2,1,2,1,2,1,2,1,2,1,1,1,5,8,1,9,NA,NA,3,NA,NA,3,31,24,18,31,0,17,121,4,0.11976990569224628
393,40,JALISCO,TECALITLAN,2283,NA,NA,2,19,2018-06-25,23,1,1,19,2,1,3,1,2,1,2,1,2,2,2,2,10,5,1,8,2,2,3,2,2,1,10,24,0,31,31,17,113,4,0.09526336193521799
394,40,JALISCO,TECALITLAN,2283,NA,NA,2,19,2018-06-25,11,1,1,48,2,2,NA,1,99,2,NA,2,NA,1,2,2,5,8,1,NA,2,3,NA,2,1,4,22,24,0,31,31,17,125,4,0.11381804053212005
395,40,JALISCO,TECALITLAN,2283,NA,NA,2,19,2018-06-25,12,1,1,33,2,1,3,1,1,1,3,1,3,1,2,2,7,8,1,4,6,6,3,1,1,2,31,47,18,31,0,12,139,3,0.1749086493319671
396,40,JALISCO,TECALITLAN,2283,19.469413333,-103.30774,2,19,2018-06-25,2,1,1,26,1,1,4,1,4,1,4,1,3,97,97,97,10,9,1,NA,1,3,NA,1,1,2,31,47,18,31,61,17,205,2,0.1928915824095431
397,40,JALISCO,TECALITLAN,2283,19.467946667,-103.30674,2,19,2018-06-25,8,1,1,23,2,1,2,1,3,1,2,2,NA,2,2,1,5,8,1,2,2,2,2,2,2,1,22,24,18,0,31,12,107,5,0.1274655096636261
398,40,JALISCO,TECALITLAN,2283,19.467868333,-103.306791667,2,19,2018-06-25,33,1,1,22,1,1,3,1,1,1,4,1,2,97,2,2,9,5,97,8,10,8,3,4,3,1,43,47,37,31,46,17,221,1,0.11277771331646386
399,40,JALISCO,TECALITLAN,2283,19.467391667,-103.305901667,2,19,2018-06-25,7,1,1,52,1,1,2,1,1,1,3,1,1,1,2,2,7,4,1,8,10,1,3,4,1,4,22,47,0,31,46,17,163,3,0.12798356168840863
400,40,JALISCO,TECALITLAN,2283,19.468463333,-103.305765,2,19,2018-06-25,5,1,1,46,2,1,2,1,2,1,2,1,2,1,1,1,7,6,1,1,1,1,1,1,1,4,43,24,0,0,0,6,73,6,0.14614977544811852
401,41,JALISCO,TEUCHITLAN,2420,NA,NA,2,1,2018-06-21,15,1,1,51,2,1,2,1,1,1,2,1,2,1,2,2,5,8,1,8,NA,NA,3,NA,NA,4,43,24,18,31,15,12,143,3,0.35120408245950324
402,41,JALISCO,TEUCHITLAN,2420,NA,NA,2,1,2018-06-21,1,1,1,32,2,1,3,1,2,1,3,1,1,1,2,2,6,8,1,8,8,8,3,3,3,2,73,24,18,31,15,12,173,2,0.5027642009317115
403,41,JALISCO,TEUCHITLAN,2420,NA,NA,2,1,2018-06-21,2,1,1,55,2,1,2,1,2,1,3,1,3,1,2,2,3,8,1,8,8,8,3,3,3,4,10,24,18,31,61,17,161,3,0.35120408245950324
404,41,JALISCO,TEUCHITLAN,2420,NA,NA,2,1,2018-06-21,1,1,1,49,2,1,99,1,2,1,99,1,2,1,2,2,5,8,1,7,7,5,2,2,2,4,31,47,18,0,15,12,123,4,0.7842246012284754
405,41,JALISCO,TEUCHITLAN,2420,NA,NA,2,1,2018-06-21,1,1,1,67,1,1,2,1,2,1,99,2,NA,1,2,2,2,11,1,NA,8,5,NA,3,2,5,10,24,18,0,31,12,95,5,0.5672672796813248
406,41,JALISCO,TEUCHITLAN,2420,NA,NA,2,1,2018-06-21,10,1,1,54,2,1,2,1,2,1,4,1,99,1,2,2,10,10,1,8,8,6,3,3,1,4,31,24,37,31,15,17,155,3,0.35120408245950324
407,41,JALISCO,TEUCHITLAN,2420,NA,NA,2,1,2018-06-21,1,1,1,52,2,1,2,1,3,1,2,1,2,2,1,1,7,8,1,1,10,1,1,4,1,4,43,47,0,31,0,17,138,3,0.47478927088840206
408,41,JALISCO,TEUCHITLAN,2420,NA,NA,2,1,2018-06-21,1,1,1,61,1,1,2,1,2,2,NA,2,NA,1,1,2,1,11,1,NA,NA,NA,NA,NA,NA,5,0,24,0,0,15,6,45,7,0.5672672796813248
409,41,JALISCO,TEUCHITLAN,2420,NA,NA,2,1,2018-06-21,1,1,1,52,2,1,2,1,2,2,NA,2,NA,1,2,2,5,8,1,8,NA,8,3,NA,3,4,22,24,18,0,46,17,127,4,0.35120408245950324
410,41,JALISCO,TEUCHITLAN,2420,NA,NA,2,1,2018-06-21,2,1,1,62,2,1,99,1,2,2,NA,2,NA,1,2,2,2,8,1,8,8,8,3,3,3,5,10,24,18,0,15,17,84,5,0.4551306260685672
411,42,JALISCO,ZAPOPAN,3506,NA,NA,3,6,2018-06-25,40,1,1,19,2,1,2,1,3,1,3,1,2,1,1,1,10,2,1,11,10,1,5,4,1,1,31,47,37,31,46,23,215,1,0.3049545701870417
412,42,JALISCO,ZAPOPAN,3506,NA,NA,3,6,2018-06-25,3,1,1,34,2,1,2,1,2,2,NA,1,2,2,2,2,3,12,1,8,8,8,3,3,3,2,23,24,0,31,15,12,105,5,0.4383501514584561
413,42,JALISCO,ZAPOPAN,3506,NA,NA,3,6,2018-06-25,4,1,1,45,2,1,3,1,2,1,99,1,99,97,2,2,5,8,1,8,8,8,3,3,3,3,43,24,18,31,15,17,148,3,0.30016329381582973
414,42,JALISCO,ZAPOPAN,3506,NA,NA,3,6,2018-06-25,34,1,1,50,2,1,2,1,2,2,NA,1,2,98,2,2,5,8,7,1,4,4,1,3,3,4,43,24,18,31,46,17,179,2,0.4139593638908465
415,42,JALISCO,ZAPOPAN,3506,NA,NA,3,6,2018-06-25,1,1,1,47,1,1,99,1,2,1,99,2,NA,97,2,2,7,1,1,8,7,NA,3,2,NA,4,43,24,0,0,31,12,110,4,0.36250479087342713
416,42,JALISCO,ZAPOPAN,3506,NA,NA,3,6,2018-06-25,1,1,1,62,2,1,2,1,2,1,2,1,2,1,1,1,3,1,1,1,4,1,1,3,1,5,22,24,0,0,15,12,73,6,0.536456134379678
417,42,JALISCO,ZAPOPAN,3506,NA,NA,3,6,2018-06-25,26,1,1,26,1,1,3,1,3,1,3,1,4,2,1,1,7,1,97,2,6,6,2,1,1,2,73,47,37,31,46,17,251,1,0.6943610066638319
418,42,JALISCO,ZAPOPAN,3506,NA,NA,3,6,2018-06-25,7,1,1,43,2,1,1,1,3,1,2,1,2,1,1,1,2,8,1,1,NA,NA,1,NA,NA,3,10,24,37,31,31,12,145,3,0.4057877414756763
419,42,JALISCO,ZAPOPAN,3506,NA,NA,3,6,2018-06-25,6,1,1,32,2,1,3,1,99,1,2,1,99,2,2,2,5,8,1,8,8,6,3,3,1,2,31,24,0,0,31,17,103,5,0.4383501514584561
420,42,JALISCO,ZAPOPAN,3506,NA,NA,3,6,2018-06-25,14,1,1,30,2,1,4,1,1,1,4,1,2,97,2,2,10,6,1,8,8,8,3,3,3,2,59,24,18,0,15,12,128,4,0.4383501514584561
421,43,JALISCO,ZAPOPAN,3133,NA,NA,1,10,2018-06-20,44,1,1,32,2,1,3,1,3,1,2,2,NA,2,1,1,5,12,1,2,2,2,2,2,2,2,31,47,18,31,46,12,185,2,2.4681142016203865
422,43,JALISCO,ZAPOPAN,3133,NA,NA,1,10,2018-06-20,4,1,1,36,2,1,2,1,2,1,2,1,99,1,1,1,7,2,1,1,10,1,1,4,1,3,43,24,0,31,0,12,110,4,1.707561013366892
423,43,JALISCO,ZAPOPAN,3133,NA,NA,1,10,2018-06-20,5,1,1,26,1,1,3,1,4,1,3,1,2,97,97,97,7,6,1,NA,NA,NA,NA,NA,NA,2,31,24,18,31,61,23,188,2,2.2990591331297026
424,43,JALISCO,ZAPOPAN,3133,NA,NA,1,10,2018-06-24,6,1,1,32,2,1,3,1,1,1,4,1,4,2,2,2,5,8,1,8,2,2,3,2,2,2,22,24,0,0,0,6,52,6,1.844584131871315
425,43,JALISCO,ZAPOPAN,3133,NA,NA,1,10,2018-06-24,2,1,1,45,1,1,3,1,3,1,2,1,2,2,97,1,4,6,7,2,2,2,2,2,2,3,23,47,0,31,31,23,155,3,2.000778688950702
426,43,JALISCO,ZAPOPAN,3133,NA,NA,1,10,2018-06-20,10,1,1,26,1,1,2,1,2,1,3,1,2,1,1,2,10,1,1,11,10,7,5,4,2,2,31,47,18,31,31,12,170,2,2.4680021426663905
427,43,JALISCO,ZAPOPAN,3133,NA,NA,1,10,2018-06-20,10,1,1,60,1,1,1,1,4,1,4,1,3,1,1,97,10,2,1,1,1,1,1,1,1,5,73,47,37,31,61,17,266,1,2.6724457851422407
428,43,JALISCO,ZAPOPAN,3133,NA,NA,1,10,2018-06-20,3,1,1,70,1,1,3,1,2,1,1,1,3,2,2,1,10,9,1,2,2,2,2,2,2,5,73,24,0,0,15,12,124,4,2.6450527985899535
429,43,JALISCO,ZAPOPAN,3133,NA,NA,1,10,2018-06-20,1,1,1,67,2,1,2,1,3,1,1,1,99,1,1,1,10,10,97,1,1,3,1,1,1,5,73,47,18,0,46,17,201,2,2.2574156062897166
430,43,JALISCO,ZAPOPAN,3133,NA,NA,1,10,2018-06-20,2,1,1,37,1,1,2,1,2,1,3,1,3,97,97,97,7,2,1,NA,NA,NA,NA,NA,NA,3,43,47,18,31,15,17,171,2,1.574296620593229
431,44,MEXICO,COACALCO DE BERRIOZABAL,587,NA,NA,1,6,2018-06-24,14,1,1,29,2,1,1,1,2,2,NA,1,3,1,2,2,7,4,97,8,1,8,3,1,3,2,31,24,37,31,61,23,207,2,0.4601003505047395
432,44,MEXICO,COACALCO DE BERRIOZABAL,587,NA,NA,1,6,2018-06-24,4,1,1,35,1,1,4,1,2,1,3,1,3,97,2,2,5,6,97,8,8,8,3,3,3,2,31,24,0,0,0,17,72,6,0.5446906803616086
433,44,MEXICO,COACALCO DE BERRIOZABAL,587,NA,NA,1,6,2018-06-24,3,1,1,32,2,1,2,1,4,1,4,1,3,1,1,1,7,8,97,1,1,1,1,1,1,2,31,24,0,0,0,12,67,6,0.6220050416892084
434,44,MEXICO,COACALCO DE BERRIOZABAL,587,NA,NA,1,6,2018-06-24,7,1,1,55,1,1,3,1,2,1,3,1,2,1,2,2,7,1,97,8,8,8,3,3,3,4,31,24,0,0,46,17,118,4,0.3804916703817273
435,44,MEXICO,COACALCO DE BERRIOZABAL,587,NA,NA,1,6,2018-06-24,16,1,1,20,1,1,3,1,2,1,2,1,2,2,2,2,7,2,7,4,3,3,3,1,1,1,31,24,18,0,61,17,151,3,0.3789343103039946
436,44,MEXICO,COACALCO DE BERRIOZABAL,587,NA,NA,1,6,2018-06-24,11,1,1,31,1,1,99,1,2,1,4,2,NA,1,2,2,7,4,97,8,3,6,3,1,1,2,43,47,18,31,31,12,182,2,0.5446906803616086
437,44,MEXICO,COACALCO DE BERRIOZABAL,587,NA,NA,1,6,2018-06-24,8,1,1,59,2,1,2,1,2,1,3,1,2,1,1,2,10,10,1,11,1,1,5,1,1,5,73,47,0,31,0,6,157,3,0.4707322596404386
438,44,MEXICO,COACALCO DE BERRIOZABAL,587,NA,NA,1,6,2018-06-24,5,1,1,30,2,1,4,1,3,1,4,1,3,97,97,97,6,2,97,NA,3,NA,NA,1,NA,2,43,47,0,31,31,23,175,2,0.4844030367415576
439,44,MEXICO,COACALCO DE BERRIOZABAL,587,NA,NA,1,6,2018-06-24,8,1,1,18,2,1,2,1,1,1,2,1,2,1,2,2,7,6,1,8,8,8,3,3,3,1,31,0,0,0,46,17,94,5,0.283215400718083
440,44,MEXICO,COACALCO DE BERRIOZABAL,587,NA,NA,1,6,2018-06-24,14,1,1,19,2,1,2,1,2,1,3,1,3,98,98,2,6,8,1,8,8,8,3,3,3,1,31,47,0,31,0,12,121,4,0.283215400718083
441,45,MEXICO,ECATEPEC DE MORELOS,1529,NA,NA,1,11,2018-06-20,2,1,1,28,1,1,2,1,2,1,3,1,3,1,2,2,6,2,1,4,6,8,3,1,3,2,35,47,18,31,46,23,200,2,1.0398067987535173
442,45,MEXICO,ECATEPEC DE MORELOS,1529,NA,NA,1,11,2018-06-20,4,1,1,20,2,1,3,1,2,1,2,1,2,2,2,2,6,6,1,8,8,8,3,3,3,1,43,47,0,31,46,23,190,2,0.47837655865915296
443,45,MEXICO,ECATEPEC DE MORELOS,1529,NA,NA,1,11,2018-06-20,2,1,1,22,1,2,NA,2,NA,2,NA,2,NA,97,97,97,4,6,6,NA,NA,NA,NA,NA,NA,1,0,24,0,0,31,6,61,6,0.596240625329856
444,45,MEXICO,ECATEPEC DE MORELOS,1529,NA,NA,1,11,2018-06-20,2,1,1,19,1,1,4,1,1,1,3,1,3,1,2,2,7,2,97,8,8,8,3,3,3,1,43,24,18,31,46,23,185,2,0.5663270043573131
445,45,MEXICO,ECATEPEC DE MORELOS,1529,NA,NA,1,11,2018-06-20,1,1,1,42,2,1,2,1,4,2,NA,2,NA,1,1,97,5,8,1,1,1,1,1,1,1,3,31,24,18,31,15,17,136,4,0.7194213976925813
446,45,MEXICO,ECATEPEC DE MORELOS,1529,NA,NA,1,11,2018-06-20,4,1,1,22,2,1,2,1,2,1,2,1,2,1,1,2,5,8,97,1,1,1,1,1,1,1,31,47,0,0,46,23,147,3,0.646712463890769
447,45,MEXICO,ECATEPEC DE MORELOS,1529,NA,NA,1,11,2018-06-20,3,1,1,29,1,1,3,1,3,1,2,1,2,2,1,1,7,2,97,2,2,2,2,2,2,2,31,0,0,0,31,17,79,6,1.231033160589611
448,45,MEXICO,ECATEPEC DE MORELOS,1529,NA,NA,1,11,2018-06-20,4,1,1,24,1,1,3,1,2,1,3,1,3,1,2,2,7,2,97,8,8,8,3,3,3,1,43,24,37,31,61,23,219,1,0.5663270043573131
449,45,MEXICO,ECATEPEC DE MORELOS,1529,NA,NA,1,11,2018-06-20,4,1,1,20,1,1,3,1,2,1,3,1,2,1,2,2,7,6,97,4,4,5,3,3,2,1,31,0,18,31,46,23,149,3,0.6400544986660056
450,45,MEXICO,ECATEPEC DE MORELOS,1529,NA,NA,1,11,2018-06-20,6,1,1,21,1,1,2,1,1,1,4,1,4,1,2,2,7,5,1,8,8,8,3,3,3,1,23,24,18,0,15,17,97,5,0.5663270043573131
451,46,MEXICO,IXTAPALUCA,2145,NA,NA,1,12,2018-06-22,2,1,1,45,2,1,1,1,3,1,2,1,2,1,1,1,7,1,97,1,1,1,1,1,1,3,43,47,18,0,31,23,162,3,1.0423479018129422
452,46,MEXICO,IXTAPALUCA,2145,NA,NA,1,12,2018-06-22,2,1,1,19,2,1,4,1,1,1,4,1,3,1,2,2,7,5,1,8,8,8,3,3,3,1,31,47,37,31,61,17,224,1,0.6931053257439217
453,46,MEXICO,IXTAPALUCA,2145,NA,NA,1,12,2018-06-22,3,1,1,22,1,1,3,1,2,1,2,1,3,1,2,2,7,6,1,8,8,8,3,3,3,1,31,47,18,31,31,17,175,2,0.820534066160904
454,46,MEXICO,IXTAPALUCA,2145,NA,NA,1,12,2018-06-22,2,1,1,18,1,1,3,1,4,2,NA,2,NA,1,1,1,5,2,1,1,6,8,1,1,3,1,22,47,0,0,61,17,147,3,1.1092717609754819
455,46,MEXICO,IXTAPALUCA,2145,NA,NA,1,12,2018-06-23,2,1,1,20,2,1,2,1,3,1,3,1,2,2,1,1,6,5,1,9,1,2,3,1,2,1,35,24,0,31,31,12,133,4,0.7833375035598118
456,46,MEXICO,IXTAPALUCA,2145,NA,NA,1,12,2018-06-23,2,1,1,33,1,1,3,1,3,1,3,1,3,97,98,98,7,6,1,NA,NA,NA,NA,NA,NA,2,31,47,18,31,46,23,196,2,1.4034165952503654
457,46,MEXICO,IXTAPALUCA,2145,NA,NA,1,12,2018-06-23,2,1,1,52,2,1,4,1,4,1,3,1,2,1,1,1,5,8,1,1,3,2,1,1,2,4,31,24,0,31,0,12,98,5,1.063338367044556
458,46,MEXICO,IXTAPALUCA,2145,NA,NA,1,12,2018-06-23,2,1,1,18,1,1,2,1,1,1,2,1,3,1,2,2,7,5,97,4,1,4,3,1,3,1,35,24,0,31,31,12,133,4,0.9273556025303715
459,46,MEXICO,IXTAPALUCA,2145,NA,NA,1,12,2018-06-23,2,1,1,45,2,1,2,1,2,1,2,1,2,1,2,2,5,6,1,1,3,1,1,1,1,3,43,47,0,0,31,17,138,3,1.0423479018129422
460,46,MEXICO,IXTAPALUCA,2145,NA,NA,1,12,2018-06-23,2,1,1,20,2,1,2,1,2,1,3,1,3,1,98,2,4,4,1,1,1,1,1,1,1,1,10,0,0,0,46,0,56,6,0.9370021269521278
461,47,MEXICO,NAUCALPAN DE JUAREZ,2584,NA,NA,1,24,2018-06-23,4,1,1,49,2,1,1,1,1,1,2,1,2,2,2,1,5,6,97,2,1,5,2,1,2,4,22,0,0,31,31,12,96,5,0.9156062769492064
462,47,MEXICO,NAUCALPAN DE JUAREZ,2584,NA,NA,1,24,2018-06-23,4,1,1,35,2,2,NA,1,3,1,1,2,NA,1,2,2,7,6,97,8,8,8,3,3,3,2,43,47,37,31,31,23,212,1,0.9795954729647828
463,47,MEXICO,NAUCALPAN DE JUAREZ,2584,NA,NA,1,24,2018-06-23,8,1,1,23,1,1,2,1,3,1,4,1,2,1,1,1,7,2,1,1,1,3,1,1,1,1,31,47,37,31,61,17,224,1,0.9650499495249184
464,47,MEXICO,NAUCALPAN DE JUAREZ,2584,NA,NA,1,24,2018-06-23,3,1,1,49,2,2,NA,1,1,1,3,1,3,1,2,2,2,8,7,3,NA,NA,1,NA,NA,4,22,0,0,0,46,17,85,5,0.7733777303750199
465,47,MEXICO,NAUCALPAN DE JUAREZ,2584,NA,NA,1,24,2018-06-23,4,1,1,52,2,1,2,1,2,2,NA,2,NA,1,1,1,5,6,1,1,3,8,1,1,3,4,43,47,37,31,61,23,242,1,0.925088579323295
466,47,MEXICO,NAUCALPAN DE JUAREZ,2584,NA,NA,1,24,2018-06-23,4,1,1,25,2,1,2,1,2,2,NA,2,NA,1,2,2,7,8,1,8,8,8,3,3,3,1,43,24,0,0,15,6,88,5,0.602991334635993
467,47,MEXICO,NAUCALPAN DE JUAREZ,2584,NA,NA,1,24,2018-06-23,4,1,1,22,1,1,4,1,2,1,3,1,3,97,2,2,7,6,1,8,8,8,3,3,3,1,31,47,0,31,46,23,178,2,0.7138524453518102
468,47,MEXICO,NAUCALPAN DE JUAREZ,2584,NA,NA,1,24,2018-06-23,4,1,1,29,1,1,3,1,2,1,3,1,3,97,2,2,5,4,97,8,8,8,3,3,3,2,10,24,0,31,31,23,119,4,1.1596959751562779
469,47,MEXICO,NAUCALPAN DE JUAREZ,2584,NA,NA,1,24,2018-06-23,5,1,1,42,1,1,2,1,1,1,2,1,2,1,2,2,4,6,97,8,8,8,3,3,3,3,23,0,0,31,61,17,132,4,0.7941098287971263
470,47,MEXICO,NAUCALPAN DE JUAREZ,2584,NA,NA,1,24,2018-06-23,8,1,1,49,1,1,2,1,4,1,4,1,2,1,1,1,10,1,1,1,1,1,1,1,1,4,59,24,18,31,46,23,201,2,1.0951678848181376
471,48,MEXICO,TLALNEPANTLA DE BAZ,4878,NA,NA,1,19,2018-06-24,2,1,1,35,2,1,2,1,1,1,2,1,2,2,2,2,5,8,97,8,6,4,3,1,3,2,10,0,0,31,46,17,104,5,2.0286242718613203
472,48,MEXICO,TLALNEPANTLA DE BAZ,4878,NA,NA,1,19,2018-06-24,2,1,1,23,2,1,2,1,3,1,3,1,3,1,2,2,7,5,1,1,1,8,1,1,3,1,35,24,0,31,31,12,133,4,1.6881353329703273
473,48,MEXICO,TLALNEPANTLA DE BAZ,4878,NA,NA,1,19,2018-06-24,1,1,1,52,1,1,2,1,2,1,2,1,2,1,2,2,5,6,97,8,8,8,3,3,3,4,31,24,0,31,61,6,153,3,1.6776223641878705
474,48,MEXICO,TLALNEPANTLA DE BAZ,4878,NA,NA,1,19,2018-06-24,2,1,1,42,2,1,4,1,1,2,NA,2,NA,97,2,2,3,6,1,8,8,8,3,3,3,3,22,24,0,0,0,6,52,6,1.3891144814953766
475,48,MEXICO,TLALNEPANTLA DE BAZ,4878,NA,NA,1,19,2018-06-24,2,1,1,22,1,2,NA,1,2,2,NA,1,4,1,1,2,5,4,1,1,1,8,1,1,3,1,31,0,0,0,0,12,43,7,1.9985022442372733
476,48,MEXICO,TLALNEPANTLA DE BAZ,4878,NA,NA,1,19,2018-06-24,1,1,1,32,2,1,2,1,2,1,2,1,2,1,1,1,7,9,97,1,1,1,1,1,1,2,31,47,37,31,61,23,230,1,2.7424767736138524
477,48,MEXICO,TLALNEPANTLA DE BAZ,4878,NA,NA,1,19,2018-06-24,2,1,1,26,1,1,3,1,2,1,4,1,4,97,2,2,6,2,97,8,1,NA,3,1,NA,2,31,24,18,31,46,23,173,2,2.401590726079729
478,48,MEXICO,TLALNEPANTLA DE BAZ,4878,NA,NA,1,19,2018-06-24,2,1,1,20,1,1,4,1,2,1,3,1,3,97,2,2,5,9,97,8,8,8,3,3,3,1,31,47,18,31,46,23,196,2,1.478302459672862
479,48,MEXICO,TLALNEPANTLA DE BAZ,4878,NA,NA,1,19,2018-06-24,2,1,1,28,2,1,2,1,4,1,4,1,3,1,1,97,7,8,1,1,1,1,1,1,1,2,43,24,18,31,15,12,143,3,2.7424767736138524
480,48,MEXICO,TLALNEPANTLA DE BAZ,4878,NA,NA,1,19,2018-06-24,2,1,1,20,2,2,NA,1,2,2,NA,2,NA,97,97,2,7,6,97,8,8,8,3,3,3,1,43,47,0,31,0,12,133,4,1.2487224481167067
481,49,MEXICO,TOLUCA,5432,NA,NA,1,34,2018-06-20,8,1,1,30,1,1,3,1,2,1,3,1,2,1,2,2,3,6,1,11,9,9,5,3,3,2,22,24,0,0,31,17,94,5,1.7248033107670941
482,49,MEXICO,TOLUCA,5432,NA,NA,1,34,2018-06-20,8,1,1,37,2,1,4,1,2,1,3,1,3,2,2,2,7,2,1,8,8,8,3,3,3,3,43,47,0,31,31,17,169,2,0.882732129995596
483,49,MEXICO,TOLUCA,5432,NA,NA,1,34,2018-06-20,11,1,1,25,2,1,3,1,2,1,3,1,3,1,2,2,6,2,1,8,3,2,3,1,2,1,43,24,0,0,46,12,125,4,0.7935180585064288
484,49,MEXICO,TOLUCA,5432,NA,NA,1,34,2018-06-20,7,1,1,50,1,1,4,1,1,1,4,1,4,97,2,2,7,2,97,8,8,8,3,3,3,4,43,47,0,0,31,17,138,3,1.0660684793046233
485,49,MEXICO,TOLUCA,5432,NA,NA,1,34,2018-06-20,9,1,1,23,1,1,2,1,2,2,NA,2,NA,1,2,2,5,2,1,1,1,8,1,1,3,1,31,47,0,31,15,12,136,4,1.2699760648650462
486,49,MEXICO,TOLUCA,5432,NA,NA,1,34,2018-06-20,14,1,1,25,2,1,3,1,2,1,3,1,3,1,2,2,7,8,1,4,5,3,3,2,1,1,43,47,0,0,0,17,107,5,0.8968225057467115
487,49,MEXICO,TOLUCA,5432,NA,NA,1,34,2018-06-20,2,1,1,25,1,1,3,1,2,1,3,2,NA,2,2,2,7,4,1,8,3,8,3,1,3,1,43,47,0,0,15,12,117,4,0.939407871984738
488,49,MEXICO,TOLUCA,5432,NA,NA,1,34,2018-06-20,7,1,1,63,2,1,3,1,2,1,2,1,3,2,2,2,3,8,1,4,3,6,3,1,1,5,43,0,0,0,31,12,86,5,1.318906202837631
489,49,MEXICO,TOLUCA,5432,NA,NA,1,34,2018-06-20,10,1,1,42,2,1,3,1,2,1,99,1,99,1,2,2,5,4,1,8,8,8,3,3,3,3,31,24,0,31,31,12,129,4,0.882732129995596
490,49,MEXICO,TOLUCA,5432,NA,NA,1,34,2018-06-20,8,1,1,45,1,1,4,1,2,1,3,1,4,97,2,2,6,4,1,8,8,8,3,3,3,3,31,24,0,0,46,12,113,4,1.045024121231136
491,50,MEXICO,TULTITLAN,6173,NA,NA,1,8,2018-06-24,2,1,1,27,2,1,2,1,2,1,3,1,2,1,2,2,11,1,1,8,8,8,3,3,3,2,101,47,18,31,31,12,240,1,0.6759292413985751
492,50,MEXICO,TULTITLAN,6173,NA,NA,1,8,2018-06-24,1,1,1,33,2,1,4,1,1,1,3,1,2,2,2,1,6,2,1,5,4,NA,2,3,NA,2,35,24,0,0,31,6,96,5,0.7639253442064329
493,50,MEXICO,TULTITLAN,6173,NA,NA,1,8,2018-06-24,2,1,1,22,1,1,4,1,3,1,3,1,4,1,1,2,10,5,97,1,1,1,1,1,1,1,43,24,0,31,46,12,156,3,0.6658927060165806
494,50,MEXICO,TULTITLAN,6173,NA,NA,1,8,2018-06-24,2,1,1,63,2,1,2,1,2,1,2,1,2,1,1,1,2,2,1,1,2,1,1,2,1,5,10,24,0,0,31,17,82,5,0.8272071693107039
495,50,MEXICO,TULTITLAN,6173,NA,NA,1,8,2018-06-24,2,1,1,30,2,2,NA,1,1,2,NA,2,NA,1,2,2,10,6,97,8,8,8,3,3,3,2,73,24,37,31,31,12,208,2,0.6759292413985751
496,50,MEXICO,TULTITLAN,6173,NA,NA,1,8,2018-06-24,2,1,1,22,1,1,1,1,1,1,3,1,2,1,2,2,10,6,97,4,4,4,3,3,3,1,31,24,18,31,46,23,173,2,0.5566889497534362
