folio,punto,edo,mun,secc,latitude,longitude,tipo_secc,df,fecha,int,p05,p06,p07,p08,p09a,p10a,p09b,p10b,p09c,p10c,p09d,p10d,p11,p12,p13,p14,p15,p16,bol1,bol2,bol3,bol1_rec,bol2_rec,bol3_rec,edadrec,nse_1,nse_2,nse_3,nse_4,nse_5,nse_6,nse_suma,nse,pond
316,32,HIDALGO,ATOTONILCO EL GRANDE,188,NA,NA,2,3,2018-06-23,8,1,1,20,1,2,NA,1,2,2,NA,2,NA,97,2,2,6,6,1,8,NA,NA,3,NA,NA,1,0,24,18,0,15,12,69,6,0.32431212679641713
317,32,HIDALGO,ATOTONILCO EL GRANDE,188,NA,NA,2,3,2018-06-23,12,1,1,62,2,1,99,1,99,1,99,1,99,1,2,2,2,8,1,9,5,5,3,2,2,5,22,24,0,0,31,12,89,5,0.45532647579752045
318,32,HIDALGO,ATOTONILCO EL GRANDE,188,NA,NA,2,3,2018-06-23,8,1,1,50,1,1,3,1,1,1,3,1,3,99,99,99,10,3,1,NA,NA,NA,NA,NA,NA,4,10,47,18,31,46,23,175,2,0.41595253886412553
319,32,HIDALGO,ATOTONILCO EL GRANDE,188,NA,NA,2,3,2018-06-23,8,1,1,23,2,1,3,1,1,1,2,1,3,2,2,2,10,8,5,8,NA,8,3,NA,3,1,0,47,0,0,31,0,78,6,0.2739465325768153
320,32,HIDALGO,ATOTONILCO EL GRANDE,188,NA,NA,2,3,2018-06-23,4,1,1,41,1,1,3,1,2,1,3,1,2,99,2,97,11,1,7,11,NA,NA,5,NA,NA,3,10,24,37,31,61,23,186,2,0.4077415708640749
321,33,HIDALGO,PACHUCA DE SOTO,944,20.069275,-98.782983333,1,6,2018-06-22,14,1,1,50,1,1,3,1,1,1,4,1,3,97,2,2,9,1,1,8,8,8,3,3,3,4,73,47,18,31,15,12,196,2,1.5247338927480236
322,33,HIDALGO,PACHUCA DE SOTO,944,NA,NA,1,6,2018-06-23,10,1,1,33,2,1,4,1,2,1,3,1,4,97,2,2,9,9,97,8,8,8,3,3,3,2,31,24,0,31,31,12,129,4,1.8437475852651724
323,33,HIDALGO,PACHUCA DE SOTO,944,NA,NA,1,6,2018-06-23,1,1,1,54,2,1,4,1,2,1,3,1,4,97,97,2,5,6,97,8,8,8,3,3,3,4,31,24,18,31,0,12,116,4,1.2879430909559355
324,33,HIDALGO,PACHUCA DE SOTO,944,NA,NA,1,6,2018-06-23,4,1,1,34,1,1,4,1,1,1,4,1,3,97,2,2,7,2,97,8,8,8,3,3,3,2,43,24,0,31,31,6,135,4,2.182724106885492
325,33,HIDALGO,PACHUCA DE SOTO,944,NA,NA,1,6,2018-06-23,7,1,1,32,2,1,2,1,1,1,3,1,4,1,2,2,7,8,97,8,8,8,3,3,3,2,43,24,0,31,15,6,119,4,1.8437475852651724
326,33,HIDALGO,PACHUCA DE SOTO,944,NA,NA,1,6,2018-06-23,11,1,1,37,2,1,4,1,2,1,3,1,2,97,2,2,7,1,1,8,8,8,3,3,3,3,22,47,0,31,31,17,148,3,1.2625188934390648
327,33,HIDALGO,PACHUCA DE SOTO,944,NA,NA,1,6,2018-06-23,11,1,1,23,2,1,3,1,1,1,4,1,2,97,2,2,5,4,97,8,8,8,3,3,3,1,31,24,0,0,15,6,76,6,1.1349213505511004
328,33,HIDALGO,PACHUCA DE SOTO,944,NA,NA,1,6,2018-06-23,8,1,1,45,2,1,4,1,3,1,99,2,NA,1,97,97,3,8,1,NA,NA,NA,NA,NA,NA,3,43,0,0,0,0,12,55,6,1.3292056510162864
329,33,HIDALGO,PACHUCA DE SOTO,944,NA,NA,1,6,2018-06-23,3,1,1,49,2,1,3,1,4,1,2,1,2,2,97,97,3,4,1,2,2,2,2,2,2,4,43,24,0,0,15,6,88,5,1.7233101915727451
330,33,HIDALGO,PACHUCA DE SOTO,944,NA,NA,1,6,2018-06-23,7,1,1,45,1,2,NA,2,NA,2,NA,2,NA,97,97,97,7,1,97,NA,NA,NA,NA,NA,NA,3,43,24,18,31,15,6,137,4,1.5735826534326838
331,34,HIDALGO,TULANCINGO DE BRAVO,1539,NA,NA,3,4,2018-06-21,5,1,1,18,2,1,4,1,2,1,3,1,2,1,2,2,5,2,1,8,8,8,3,3,3,1,31,24,18,31,31,12,147,3,1.9500667671842915
332,34,HIDALGO,TULANCINGO DE BRAVO,1539,NA,NA,3,4,2018-06-21,5,1,1,28,2,1,4,1,1,1,99,1,4,1,2,2,5,8,13,8,8,8,3,3,3,2,43,24,18,31,61,23,200,2,3.1680000480703012
333,34,HIDALGO,TULANCINGO DE BRAVO,1539,20.066155,-98.343555,3,4,2018-06-21,4,1,1,24,2,1,99,1,99,1,2,1,2,1,2,2,6,8,1,NA,1,9,NA,1,3,1,31,24,0,31,61,17,164,3,2.2039369435540537
334,34,HIDALGO,TULANCINGO DE BRAVO,1539,20.066441667,-98.343311667,3,4,2018-06-21,2,1,1,39,2,1,2,1,3,1,99,1,99,2,1,97,3,8,1,1,1,6,1,1,1,3,31,24,0,31,0,12,98,5,2.9326682795115127
335,34,HIDALGO,TULANCINGO DE BRAVO,1539,20.066185,-98.343206667,3,4,2018-06-21,6,1,1,45,2,1,2,1,2,1,2,1,2,97,2,2,5,8,1,8,8,8,3,3,3,3,22,24,0,0,46,17,109,4,2.169309913715429
336,34,HIDALGO,TULANCINGO DE BRAVO,1539,20.06515,-98.342778333,3,4,2018-06-21,14,1,1,42,2,1,3,1,2,1,99,1,99,97,2,98,5,4,1,8,NA,NA,3,NA,NA,3,31,0,0,0,15,12,58,6,2.169309913715429
